Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Heat_Type_Desc,Living_AreaGBA,Line_
4428,    137,     13,    017,       ,16E BROOKFIELD DR #17,1020,1,2,Forced Air-Duc,1425,1
4429,    137,     13,    018,       ,16F BROOKFIELD DR #18,1020,1,2,Forced Air-Duc,1463,1
4430,    137,     13,    019,       ,27A BROOKFIELD DR #19,1020,1,2,Forced Air-Duc,1425,1
4431,    137,     13,    020,       ,27B BROOKFIELD DR #20,1020,1,2,Forced Air-Duc,1102,1
4432,    137,     13,    021,       ,27C BROOKFIELD DR #21,1020,1,2,Forced Air-Duc,1102,1
4433,    137,     13,    022,       ,27D BROOKFIELD DR #22,1020,1,2,Forced Air-Duc,1425,1
4434,    137,     13,    023,       ,27E BROOKFIELD DR #23,1020,1,2,Forced Air-Duc,1463,1
4435,    137,     13,    024,       ,29A BROOKFIELD DR #24,1020,1,2,Forced Air-Duc,1406,1
4436,    137,     13,    025,       ,29B BROOKFIELD DR #25,1020,1,2,Forced Air-Duc,1368,1
4437,    137,     13,    026,       ,29C BROOKFIELD DR #26,1020,1,2,Forced Air-Duc,1653,1
4438,    137,     13,    027,       ,29D BROOKFIELD DR #27,1020,1,2,Forced Air-Duc,1102,1
4439,    137,     13,    028,       ,29E BROOKFIELD DR #28,1020,1,2,Forced Air-Duc,1387,1
4440,    137,     13,    029,       ,33A BROOKFIELD DR #29,1020,1,2,Forced Air-Duc,1406,1
4441,    137,     13,    030,       ,33B BROOKFIELD DR #30,1020,1,2,Forced Air-Duc,1102,1
4442,    137,     13,    031,       ,33C BROOKFIELD DR #31,1020,1,2,Forced Air-Duc,1463,1
4443,    137,     13,    032,       ,33D BROOKFIELD DR #32,9702,1,2,Forced Air-Duc,1140,1
4444,    137,     13,    033,       ,33E BROOKFIELD DR #33,1020,1,2,Forced Air-Duc,1463,1
4445,    137,     13,    034,       ,33F BROOKFIELD DR #34,1020,1,2,Forced Air-Duc,1425,1
4446,    137,     13,    035,       ,5A BROOKFIELD DR #35,1020,1,2,Forced Air-Duc,1463,1
4447,    137,     13,    036,       ,5B BROOKFIELD DR #36,1020,1,2,Forced Air-Duc,1444,1
4581,    122,     66,      0,       ,90 RIDGEWOOD AVE ,1020,1,1,Forced Air-Duc,1232,1
4643,    122,      4,    001,       ,15A SUMMIT AVE #1,1020,1,2,Hot Water,1026,1
4644,    122,      4,    002,       ,15B SUMMIT AVE #2,1020,1,2,Hot Water,1348,1
4653,    110,     22,    001,       ,195A MILL ST #1,1020,1,2,Forced Air-Duc,1542,1
4732,    129,    133,      0,       ,45-1 MOUNTAIN LAKES TRL #1,1020,1,1,Hot Water,1020,1
4740,    228,     51,    001,       ,411L NASHUA RD #1,1020,1,2,Hot Water,2024,1
4744,    110,     22,    002,       ,195B MILL ST #2,1020,1,2,Forced Air-Duc,1590,1
4892,    101,      2,    101,       ,58A WEST MAIN ST #101,1020,1,1,Forced Air-Duc,1150,1
4893,    101,      2,    102,       ,58B WEST MAIN ST #102,1020,1,1,Forced Air-Duc,1150,1
4894,    101,      2,    103,       ,58C WEST MAIN ST #103,1020,1,1,Forced Air-Duc,1150,1
4895,    101,      2,    104,       ,58D WEST MAIN ST #104,1020,1,1,Forced Air-Duc,1175,1
4896,    101,      2,    201,       ,58E WEST MAIN ST #201,1020,1,1,Forced Air-Duc,1104,1
4897,    101,      2,    202,       ,58F WEST MAIN ST #202,1020,1,1,Forced Air-Duc,1104,1
4898,    101,      2,    203,       ,58G WEST MAIN ST #203,1020,1,1,Forced Air-Duc,1150,1
4899,    101,      2,    204,       ,58H WEST MAIN ST #204,1020,1,1,Forced Air-Duc,1150,1
4900,    101,      2,    301,       ,56A WEST MAIN ST #301,1020,1,1.5,Forced Air-Duc,1958,1
4901,    101,      2,    302,       ,56B WEST MAIN ST #302,1020,1,1.5,Forced Air-Duc,2108,1
4991,    121,     60,      A,       ,584A BOSTON RD ,1020,1,2,Hot Air-no Duc,1242,1
5022,    227,    110,     5A,       ,285A NASHUA RD #A,9702,1,1,Forced Air-Duc,1036,1
5023,    227,    110,     5B,       ,285B NASHUA RD #B,1020,1,1,Forced Air-Duc,1512,1
5024,    227,    110,     5C,       ,285C NASHUA RD #C,1020,1,1,Forced Air-Duc,1512,1
5025,    227,    110,     5D,       ,285D NASHUA RD #D,1020,1,2,Forced Air-Duc,1914,1
5026,    227,    110,     5E,       ,285E NASHUA RD #E,1020,1,1,Forced Air-Duc,2962,1
5027,    227,    110,     5F,       ,285F NASHUA RD #F,1020,1,2,Forced Air-Duc,2088,1
5028,    227,    110,     5G,       ,285G NASHUA RD #G,1020,1,2,Forced Air-Duc,2240,1
5029,    227,    110,     5H,       ,285H NASHUA RD #H,1020,1,2,Forced Air-Duc,2088,1
5030,    227,    110,     5I,       ,285I NASHUA RD #I,1020,1,2,Forced Air-Duc,2136,1
5031,    227,    110,     5J,       ,285J NASHUA RD #J,1020,1,2,Forced Air-Duc,2448,1
5039,    118,      9,      A,       ,505A BOSTON RD,1020,1,2,Electr Basebrd,1026,1
5040,    118,      9,      B,       ,505B BOSTON RD,1020,1,2,Electr Basebrd,1032,1
5041,    136,     44,      1,       ,196 HAYDEN RD,1020,1,2,Hot Water,1266,1
5042,    136,     44,      2,       ,198 HAYDEN RD,1020,1,2,Hot Water,1266,1
5053,    127,     33,      2,       ,10B FAWN TERRACE LN #B,1020,1,2,Forced Air-Duc,1092,1
5054,    216,      1,     1A,       ,491-A MAIN ST #A,3401,1,1,Forced Air-Duc,998,1
5055,    216,      1,     1B,       ,491-B MAIN ST #B,3401,1,1,Forced Air-Duc,1011,1
5056,    216,      1,     1C,       ,491-C MAIN ST #C,3401,1,1,Forced Air-Duc,1517,1
5057,    216,      1,     1D,       ,491-D MAIN ST #D,3401,1,1,Forced Air-Duc,1491,1
5058,    216,      1,     1E,       ,491-E MAIN ST #E,3401,1,1,Forced Air-Duc,1278,1
5059,    216,      1,     1F,       ,491-F MAIN ST #F,3401,1,1,Forced Air-Duc,1278,1
5060,    216,      1,     1G,       ,491-G MAIN ST #G,3401,1,1,Forced Air-Duc,2232,1
5063,    216,      1,     2C,       ,493-C MAIN ST #C,3401,1,1,Forced Air-Duc,5386,1
5065,    216,      1,     2E,       ,493-E MAIN ST #E,3401,1,1,Forced Air-Duc,1021,1
5067,    216,      1,     2F,       ,493-F MAIN ST #F,3401,1,1,Forced Air-Duc,1382,1
5068,    216,      1,     2G,       ,493-G MAIN ST #G,3401,1,1,Forced Air-Duc,1837,1
5069,    216,      1,     3A,       ,495-A MAIN ST #A,3401,1,1,Forced Air-Duc,3283,1
5070,    216,      1,     3B,       ,495-B MAIN ST #B,3401,1,1,Forced Air-Duc,2349,1
5071,    216,      1,     3D,       ,495-D MAIN ST #D,3401,1,1,Forced Air-Duc,1208,1
5072,    216,      1,     3E,       ,495-E MAIN ST #E,3401,1,1,Forced Air-Duc,2027,1
5075,    216,      1,     4A,       ,497-A MAIN ST #4A,3401,1,1,Forced Air-Duc,1603,1
5076,    216,      1,     4B,       ,497-B MAIN ST #B,3401,1,1,Forced Air-Duc,1449,1
5077,    216,      1,     4C,       ,497-C MAIN ST #C,3401,1,1,Forced Air-Duc,1449,1
5078,    216,      1,     4D,       ,497-D MAIN ST #D,3401,1,1,Forced Air-Duc,1846,1
5079,    216,      1,     4E,       ,497-E MAIN ST #E,3401,1,1,Forced Air-Duc,1620,1
5080,    216,      1,     4F,       ,497-F MAIN ST #F,3401,1,1,Forced Air-Duc,1620,1
5082,    216,      1,      5,       ,489 MAIN ST ,3401,1,1,Forced Air-Duc,9807,1
5090,    216,      1,     3C,       ,495-C MAIN ST #C,3401,1,1,Forced Air-Duc,1028,1
5096,    111,     64,      2,       ,118B HOLLIS ST #B,1020,1,2,Forced Air-Duc,1445,1
5097,    111,     64,      3,       ,118C HOLLIS ST #C,1020,1,2,Forced Air-Duc,1400,1
5100,    136,     43,      2,       ,204-2 HAYDEN RD #2,1020,1,2,Hot Water,1266,1
100186,    216,     12,      0,    11D,503D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100187,    216,     12,      0,    11C,503C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100188,    216,     12,      0,    11B,503B MAIN ST #B,1020,1,1,Forced Air-Duc,1032,1
100189,    216,     12,      0,    11A,503A MAIN ST #A,1020,1,1,Forced Air-Duc,1202,1
100190,    216,     12,      0,    10D,505D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100191,    216,     12,      0,    10C,505C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100192,    216,     12,      0,    10B,505B MAIN ST #B,1020,1,1,Forced Air-Duc,1215,1
100193,    216,     12,      0,    10A,505A MAIN ST #A,1020,1,1,Forced Air-Duc,1032,1
100194,    216,     12,      0,     9D,507D MAIN ST #D,1020,1,1,Forced Air-Duc,1234,1
100195,    216,     12,      0,     9C,507C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100196,    216,     12,      0,     9B,507B MAIN ST #B,1020,1,1,Forced Air-Duc,1032,1
100197,    216,     12,      0,     9A,507A MAIN ST #A,1020,1,1,Forced Air-Duc,1218,1
100198,    216,     12,      0,     8D,509D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100199,    216,     12,      0,     8C,509C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100200,    216,     12,      0,     8B,509B MAIN ST #B,1020,1,1,Forced Air-Duc,1218,1
100201,    216,     12,      0,     8A,509A MAIN ST #A,1020,1,1,Forced Air-Duc,1032,1
100202,    216,     12,      0,     7D,515D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100203,    216,     12,      0,     7C,515C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100204,    216,     12,      0,     7B,515B MAIN ST #B,1020,1,1,Forced Air-Duc,1044,1
100205,    216,     12,      0,     7A,515A MAIN ST #A,1020,1,1,Forced Air-Duc,1446,1
100206,    216,     12,      0,     6D,517D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100207,    216,     12,      0,     6C,517C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100208,    216,     12,      0,     6B,517B MAIN ST #B,1020,1,1,Forced Air-Duc,1412,1
100209,    216,     12,      0,     6A,517A MAIN ST #A,1020,1,1,Forced Air-Duc,1032,1
100210,    216,     12,      0,     5D,519D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100211,    216,     12,      0,     5C,519C MAIN ST #C,1020,1,1,Forced Air-Duc,1202,1
100212,    216,     12,      0,     5B,519B MAIN ST #B,1020,1,1,Forced Air-Duc,1032,1
100213,    216,     12,      0,     5A,519A MAIN ST #A,1020,1,1,Forced Air-Duc,1412,1
100214,    216,     12,      0,     4D,521D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100215,    216,     12,      0,     4C,521C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100216,    216,     12,      0,     4B,521B MAIN ST #B,1020,1,1,Forced Air-Duc,1032,1
100217,    216,     12,      0,     4A,521A MAIN ST #A,1020,1,1,Forced Air-Duc,1218,1
100218,    216,     12,      0,     3D,523D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100219,    216,     12,      0,     3C,523C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100220,    216,     12,      0,     3B,523B MAIN ST #B,1020,1,1,Forced Air-Duc,1412,1
100221,    216,     12,      0,     3A,523A MAIN ST #A,1020,1,1,Forced Air-Duc,1032,1
100222,    216,     12,      0,     2D,513D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100224,    216,     12,      0,     2C,513C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100225,    216,     12,      0,     2B,513B MAIN ST #B,1020,1,1,Forced Air-Duc,1032,1
100226,    216,     12,      0,     2A,513A MAIN ST #A,1020,1,1,Forced Air-Duc,1394,1
100227,    216,     12,      0,     1D,511D MAIN ST #D,1020,1,1,Forced Air-Duc,1092,1
100228,    216,     12,      0,     1C,511C MAIN ST #C,1020,1,1,Forced Air-Duc,1092,1
100229,    216,     12,      0,     1B,511B MAIN ST #B,1020,1,1,Forced Air-Duc,1412,1
100230,    216,     12,      0,     1A,511A MAIN ST #A,1020,1,1,Forced Air-Duc,1068,1
100246,    220,     10,      A,       ,91A CULVER RD #A,1020,1,2,Forced Air-Duc,2438,1
100247,    220,     10,      B,       ,91B CULVER RD #B,1020,1,2,Forced Air-Duc,2438,1
100291,    247,      6,      2,       ,503B OLD DUNSTABLE RD #B,1020,1,2,Forced Air-Duc,2770,1
100413,    126,     45,      1,       ,1A LOST LAKE DR #A,1020,1,2,Forced Air-Duc,2314,1
100414,    126,     45,      2,       ,1B LOST LAKE DR #B,1020,1,2,Forced Air-Duc,2263,1
100455,    127,     10,      1,      A,749A LOWELL RD #A,1020,1,1,Forced Air-Duc,1578,1
100475,    127,     10,      2,      B,749B LOWELL RD #B,1020,1,1,Forced Air-Duc,1578,1
100478,    204,     10,     42,      2,25 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2412,1
100479,    204,     10,     42,      1,21 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2993,1
100524,    204,     10,     42,      3,29 MAGNOLIA LN,1020,1,2,Forced Air-Duc,1716,1
100525,    204,     10,     42,      4,33 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2418,1
100527,    204,     10,     42,      5,35 MAGNOLIA LN,1020,1,1.75,Forced Air-Duc,2363,1
100528,    204,     10,     42,      6,37 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2214,1
100529,    204,     10,     42,      7,39 MAGNOLIA LN ,1020,1,2,Forced Air-Duc,1716,1
100530,    204,     10,     42,      8,41 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2708,1
100531,    204,     10,     42,      9,45 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2325,1
100532,    204,     10,     42,     10,49 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2214,1
100533,    204,     10,     42,     11,55 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2305,1
100534,    204,     10,     42,     12,57 MAGNOLIA LN ,1020,1,2,Forced Air-Duc,2418,1
100535,    204,     10,     42,     13,67 MAGNOLIA LN,1020,1,2,Forced Air-Duc,2418,1
100557,    216,     78,      1,       ,78  NOD RD  #A,1020,1,2,Hot Air-no Duc,2122,1
