Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Heat_Type_Desc,Living_AreaGBA,Line_
101387,    113,      9,     22,      2,22B BLACKSMITH ROW #B,1020,1,2,Forced Air-Duc,2092,1
101388,    113,      9,     21,      2,21A BLACKSMITH ROW #A,1020,1,1.5,Forced Air-Duc,1982,1
101389,    113,      9,     21,      3,21B BLACKSMITH ROW #B,1020,1,1.75,Forced Air-Duc,2801,1
101390,    113,      9,     18,      3,18C BLACKSMITH ROW #C,1020,1,1.75,Forced Air-Duc,1790,1
101391,    113,      9,     18,      1,18A BLACKSMITH ROW #A,1020,1,1.75,Forced Air-Duc,2009,1
101392,    113,      9,     18,      2,18B BLACKSMITH ROW #B,1020,1,1.75,Forced Air-Duc,1362,1
101393,    113,      9,     19,      2,19B BLACKSMITH ROW #B,1020,1,1.75,Forced Air-Duc,2041,1
101394,    113,      9,     19,      1,19A BLACKSMITH ROW #A,1020,1,1.75,Forced Air-Duc,3096,1
101666,    111,     23,      1,       ,71 CHAMPNEY ST #A,1020,1,3,Forced Air-Duc,1616,1
101667,    111,     23,      2,       ,71 CHAMPNEY ST #B,1020,1,1,Forced Air-Duc,1173,1
101668,    111,     23,      3,       ,71 CHAMPNEY ST #C,1020,1,2,Forced Air-Duc,1183,1
101669,    111,     23,      4,       ,71 CHAMPNEY ST #D,1020,1,2,Forced Air-Duc,1710,1
101785,    204,     10,     34,      4,6 ROSE CREST WAY,1020,1,2,Forced Air-Duc,2516,1
101805,    204,     10,     34,      7,10 ROSE CREST WAY,1020,1,2,Forced Air-Duc,2516,1
101885,    228,     60,      1,      J,1 OLIVIA WAY #J,1020,1,2,Forced Air-Duc,1960,1
101886,    228,     60,      2,     AA,2 OLIVIA WAY #AA,1020,1,2,Forced Air-Duc,1264,1
101887,    228,     60,      6,      B,6 OLIVIA WAY #B,1020,1,2,Forced Air-Duc,1976,1
101888,    228,     60,     10,      C,10 OLIVIA WAY #C,1020,1,2,Forced Air-Duc,1264,1
101889,    228,     60,     14,      D,14 OLIVIA WAY #D,1020,1,2,Forced Air-Duc,2832,1
101890,    228,     60,     13,      E,13 OLIVIA WAY #E,1020,1,2,Forced Air-Duc,2132,1
101891,    228,     60,      9,      F,9 OLIVIA WAY #F,1020,1,2,Forced Air-Duc,1960,1
101892,    228,     60,      7,      G,7 OLIVIA WAY #G,1020,1,2,Forced Air-Duc,1960,1
101893,    228,     60,      5,      H,5 OLIVIA WAY #H,1020,1,2,Forced Air-Duc,2132,1
101894,    228,     60,      3,      I,3 OLIVIA WAY #I,1020,1,2,Forced Air-Duc,1960,1
101907,    120,      2,     40,      1,58 HUMMINGBIRD LN #1,1020,1,2,Forced Air-Duc,2822,1
101908,    120,      2,     40,     2A,46A HUMMINGBIRD LN #2A,1020,1,2,Forced Air-Duc,2800,1
101909,    120,      2,     40,     3B,46B HUMMINGBIRD LN #3B,1020,1,2,Forced Air-Duc,2800,1
101925,    120,      2,     40,     17,35 HUMMINGBIRD LN #17,1020,1,2,Forced Air-Duc,2653,1
101926,    120,      2,     40,    19A,63A HUMMINGBIRD LN #19A,1020,1,2,Forced Air-Duc,2800,1
101927,    120,      2,     40,    18B,63B HUMMINGBIRD LN #18B,1020,1,2,Forced Air-Duc,2800,1
101928,    120,      2,     40,     20,45 HUMMINGBIRD LN #18,1020,1,2,Forced Air-Duc,2822,1
101929,    120,      2,     40,     21,75 HUMMINGBIRD LN #21,1020,1,2,Forced Air-Duc,2822,1
101930,    120,      2,     40,     4A,72A HUMMINGBIRD LN ,1020,1,2,Forced Air-Duc,2822,1
101945,    120,      2,     40,     5B,72B HUMMINGBIRD LN #5B,1020,1,2,Forced Air-Duc,2822,1
101946,    120,      2,     40,     6C,72C HUMMINGBIRD LN #6C,1020,1,2,Forced Air-Duc,2800,1
101947,    120,      2,     40,     7D,72D HUMMINGBIRD LN #7D,1020,1,2,Forced Air-Duc,2800,1
101948,    120,      2,     40,     16,120 HUMMINGBIRD LN #16,1020,1,2,Forced Air-Duc,2822,1
101949,    120,      2,     40,    14A,100E HUMMINGBIRD LN ,1020,1,2,Forced Air-Duc,2833,1
101950,    120,      2,     40,      8,84 HUMMINGBIRD LN #8,1020,1,2,Forced Air-Duc,2822,1
101951,    120,      2,     40,      9,88 HUMMINGBIRD LN #9,1020,1,2,Forced Air-Duc,2822,1
101952,    120,      2,     40,     22,95 HUMMINGBIRD LN #22,1020,1,2,Forced Air-Duc,2822,1
101953,    120,      2,     40,    23B,115B HUMMINGBIRD LN #23B,1020,1,2,Forced Air-Duc,2319,1
101954,    120,      2,     40,    24A,115A HUMMINGBIRD LN #24A,1020,1,2,Forced Air-Duc,2800,1
101955,    120,      2,     40,    10A,100A HUMMINGBIRD LN #10A,1020,1,2,Forced Air-Duc,2319,1
101956,    120,      2,     40,    11B,100B HUMMINGBIRD LN #11B,1020,1,2,Forced Air-Duc,2319,1
101957,    120,      2,     40,    12C,100C HUMMINGBIRD LN #12C,1020,1,2,Forced Air-Duc,2319,1
101958,    120,      2,     40,    13D,100D HUMMINGBIRD LN #13D,1020,1,2,Forced Air-Duc,2319,1
101959,    120,      2,     40,    15B,108 HUMMINGBIRD LN ,1020,1,2,Forced Air-Duc,2822,1
102007,    102,     44,      1,      A,73A PEPPERELL RD #A,1020,1,2,Forced Air-Duc,1564,1
102008,    102,     44,      1,      B,73B PEPPERELL RD #B,1020,1,2,Forced Air-Duc,3128,1
102009,    102,     44,      1,      C,73C PEPPERELL RD #C,1020,1,2,Forced Air-Duc,3128,1
102028,    225,     25,    002,       ,39 SHEPLE LN #2,1020,1,2,Forced Air-Duc,2441,1
102051,    133,      9,      2,      A,14A WHILEY RD,1020,1,2,Forced Air-Duc,2800,1
102052,    133,      9,      2,      B,14B WHILEY RD,1020,1,2,Forced Air-Duc,2450,1
102066,    224,     24,     1B,       ,180B MARTINS POND RD,1020,1,2,Forced Air-Duc,2380,1
102067,    224,     24,     1A,       ,180A MARTINS POND RD,1020,1,2,Forced Air-Duc,2904,1
102087,    135,     34,     1A,       ,218 FORGE VILLAGE RD #A,1020,1,2,Forced Air-Duc,2200,1
102088,    135,     34,     2B,       ,218 FORGE VILLAGE RD #B,1020,1,2,Forced Air-Duc,2200,1
102245,    225,     25,    001,       ,37 SHEPLE LN ,1020,1,2,Forced Air-Duc,2569,1
102310,    112,    114,      1,       ,50 HOLLIS ST ,1020,1,,Forced Air-Duc,936,1
102313,    101,     18,      1,       ,19 WEST MAIN ST ,1020,1,2,Forced Air-Duc,1998,1
102329,    129,     74,      1,,6A LONG COPE RD ,1020,1,,Forced Air-Duc,1240,1
102330,    129,     74,      2,,6B LONG COPE RD ,1020,1,,Forced Air-Duc,1240,1
102332,    124,     19,      1,       ,37A TAVERN RD ,1020,1,2,Forced Air-Duc,2146,1
102333,    124,     19,      2,       ,37B TAVERN RD ,1020,1,2,Forced Air-Duc,2008,1
102343,    216,     31,      1,      A,176A GRATUITY RD ,1020,1,2,Forced Air-Duc,2206,1
102344,    216,     31,      2,      B,176B GRATUITY RD ,1020,1,2,Forced Air-Duc,2206,1
102354,    226,      2,      1,      A,23A MCGOVERN WAY ,1020,1,2,Forced Air-Duc,2245,1
102355,    226,      2,      1,      B,23B MCGOVERN WAY ,1020,1,1,Forced Air-Duc,2008,1
102356,    226,      2,      2,      A,57A LEGACY LN ,1020,1,2,Forced Air-Duc,2637,1
102357,    226,      2,      2,      B,57B LEGACY LN ,1010,1,1,Forced Air-Duc,2174,1
102358,    226,      2,      3,      A,67A LEGACY LN ,1020,1,1,Forced Air-Duc,2008,1
102359,    226,      2,      3,      B,67B LEGACY LN ,1020,1,2,Forced Air-Duc,2604,1
102360,    226,      2,      4,      A,86A LEGACY LN ,1020,1,2,Forced Air-Duc,2764,1
102361,    226,      2,      4,      B,86B LEGACY LN ,1020,1,1,Forced Air-Duc,2008,1
102362,    226,      2,      5,      A,70A LEGACY LN ,1020,1,1,Forced Air-Duc,2198,1
102363,    226,      2,      5,      B,70B LEGACY LN ,1020,1,2,Forced Air-Duc,2746,1
102364,    226,      2,      6,      A,58A LEGACY LN ,1020,1,2,Forced Air-Duc,2637,1
102365,    226,      2,      6,      B,58B LEGACY LN ,1020,1,1,Forced Air-Duc,2680,1
102366,    226,      2,      7,      A,46A LEGACY LN ,1020,1,1,Forced Air-Duc,2174,1
102367,    226,      2,      7,      B,46B LEGACY LN ,1020,1,2,Forced Air-Duc,2746,1
102368,    226,      2,      8,      A,38A LEGACY LN ,1020,1,2,Forced Air-Duc,2629,1
102369,    226,      2,      8,      B,38B LEGACY LN ,1020,1,2,Forced Air-Duc,2629,1
102370,    226,      2,      9,      A,24A LEGACY LN ,1020,1,1,Forced Air-Duc,2174,1
102371,    226,      2,      9,      B,24B LEGACY LN ,1020,1,2,Forced Air-Duc,3061,1
102374,    226,      2,     11,      A,29A LEGACY LN ,1020,1,2,Forced Air-Duc,2629,1
102375,    226,      2,     11,      B,29B LEGACY LN ,1020,1,1,Forced Air-Duc,2174,1
102376,    226,      2,     12,      A,45A LEGACY LN ,1020,1,2,Forced Air-Duc,2629,1
102377,    226,      2,     12,      B,45B LEGACY LN ,1020,1,2,Forced Air-Duc,2629,1
102378,    226,      2,     13,      A,26A MCGOVERN WAY ,1020,1,2,Forced Air-Duc,2664,1
102379,    226,      2,     13,      B,26B MCGOVERN WAY ,1020,1,1,Forced Air-Duc,2008,1
102383,    124,     35,      0,      A,19A INDIAN RD ,1020,1,2,Forced Air-Duc,1878,1
102384,    124,     35,      0,      B,19B INDIAN RD ,1020,1,2,Forced Air-Duc,1878,1
102395,    216,     99,      1,      A,458A MAIN ST #A,1020,1,2,Forced Air-Duc,2283,1
102396,    216,     99,      1,      B,458B MAIN ST #B,1020,1,2,Forced Air-Duc,2283,1
102397,    122,     67,      1,       ,82 RIDGEWOOD AVE ,1020,1,1,Forced Air-Duc,780,1
102398,    122,     67,      2,       ,86 RIDGEWOOD AVE ,1020,1,1,Forced Air-Duc,2077,1
102399,    113,     69,      0,      A,15A COURT ST ,1020,1,1,Hot Water,1188,1
102400,    113,     69,      0,      B,15B COURT ST ,1020,1,1,Hot Water,1332,1
102410,    229,      2,      0,      1,2A RED PEPPER LN ,1020,1,2,Forced Air-Duc,1912,1
102411,    229,      2,      0,      2,2B RED PEPPER LN ,1020,1,2,Forced Air-Duc,1912,1
102413,    129,    248,      1,       ,61 ARROW TRL ,1020,1,2,Forced Air-Duc,1685,1
102414,    129,    248,      2,       ,69 ARROW TRL ,1020,1,2,Forced Air-Duc,1976,1

