Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Usrfld_208_Desc,Line_
2948,    113,     84,      0,       ,31 ADAMS AVE,3400,1,1,3420,Forced Air-Duc,1
2953,    113,     76,      0,       ,36 COURT ST ,3400,1,1,1107,Forced Air-Duc,1
2963,    112,      2,      0,       ,205-207 MAIN ST ,0130,2,2,2836,Hot Water,1
2964,    112,      1,      0,       ,201 MAIN ST,3400,1,2,6643,Forced Air-Duc,1
2976,    113,     65,      0,       ,195 MAIN ST,3250,1,1.75,2580,Forced Air-Duc,1
2983,    113,     59,      0,       ,20 STATION AVE ,3250,1,2,6765,Radiant,1
2985,    113,     61,      0,       ,173 MAIN ST,9311,1,2,11516,Hot Water,1
2989,    113,     51,      0,       ,STATION AVE,9711,1,2,7051,Forced Air-Duc,1
2993,    113,     48,      0,       ,167 MAIN ST ,3410,1,2,2343,Forced Air-Duc,1
2994,    113,     47,      0,       ,163 MAIN ST,3410,1,2,2640,Forced Air-Duc,1
2996,    113,     46,      0,       ,159-161 MAIN ST,3250,1,2,4252,Hot Water,1
2997,    113,     45,      0,       ,155-157 MAIN ST ,0311,2,2,1830,Forced Air-Duc,1
2999,    113,     43,      0,       ,145 MAIN ST,9341,1,2,16410,Steam,1
3000,    113,     42,      0,       ,143 MAIN ST,3210,1,1,7580,Forced Air-Duc,1
3003,    113,     41,      0,       ,127 MAIN ST,3250,1,1,7276,Hot Water,1
3016,    112,     94,      0,       ,218 MAIN ST ,9602,1,1,10452,Steam,1
3019,    112,     97,      0,       ,17 HOLLIS ST,4300,1,1.5,3510,Forced Air-Duc,1
3022,    112,    132,      0,       ,30 HOLLIS ST,3250,1,1,2800,Hot Water,1
3023,    112,    131,      0,       ,28 WILLOWDALE RD ,3310,1,1.5,4677,Hot Air-no Duc,1
3043,    113,      1,      0,       ,186 MAIN ST,3400,1,2,7527,Forced Air-Duc,1
3043,    113,      1,      0,       ,186 MAIN ST,3400,2,2,3200,Forced Air-Duc,1
3058,    113,      6,      0,       ,148-150 MAIN ST,0310,1,2,4932,Hot Water,1
3060,    113,      8,      0,       ,140 MAIN ST,3400,1,2,3694,Forced Air-Duc,1
3062,    113,     10,      0,       ,128 MAIN ST,3000,1,2.75,37111,Hot Air-no Duc,1
3062,    113,     10,      0,       ,128 MAIN ST,3000,2,1,5180,Forced Air-Duc,1
3064,    116,      1,      0,       ,19 LOWELL RD,9701,1,2,12017,Forced Air-Duc,1
3064,    116,      1,      0,       ,19 LOWELL RD,9701,2,1.75,6120,Forced Air-Duc,1
3065,    116,      3,      0,       ,55 LOWELL RD,0311,2,2,6276,Forced Air-Duc,1
3065,    116,      3,      0,       ,55 LOWELL RD,0311,3,2,7991,Forced Air-Duc,1
3068,    109,     52,   3068,       ,46 WEST ST,9512,1,1,5008,Forced Air-Duc,1
3071,    109,     52,   3071,       ,22 HILLSIDE AVE,9512,1,2,49791,Steam,1
3087,    116,      6,      0,       ,171 LOWELL RD,0130,2,1,924,Forced Air-Duc,1
3136,    113,     18,      0,       ,99 MAIN ST,9311,1,2,12822,Forced Air-Duc,1
3169,    116,     11,   3169,       ,1 POWDERHOUSE RD,9602,1,2,13138,Steam,1
3174,    116,     12,      0,       ,86 MAIN ST,9411,1,2,4906,Hot Water,1
3174,    116,     12,      0,       ,86 MAIN ST,9411,2,3,5472,Hot Water,1
3174,    116,     12,      0,       ,86 MAIN ST,9411,6,2,27027,Hot Water,1
3174,    116,     12,      0,       ,86 MAIN ST,9411,7,1,3540,Hot Air-no Duc,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,6,1,17317,Forced Air-Duc,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,7,2,13200,Hot Water,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,8,2,10488,Hot Water,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,10,2,7016,Forced Air-Duc,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,11,1.75,4200,Hot Water,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,12,1,27000,Forced Air-Duc,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,13,1.5,41172,Forced Air-Duc,1
3186,    116,     10,      0,       ,ACADEMY DR,9410,14,1,11626,Hot Water,1
3187,    115,      2,      0,       ,14 MAIN ST,9601,3,2,10244,Hot Water,1
3187,    115,      2,      0,       ,14 MAIN ST,9601,4,1,17120,Hot Water,1
3187,    115,      2,      0,       ,14 MAIN ST,9601,5,1,2480,Hot Water,1
3224,    115,     33,      0,       ,LOVERS LN,9311,1,1,8120,Forced Air-Duc,1
3224,    115,     33,      0,       ,LOVERS LN,9311,2,1,1696,Forced Air-Duc,1
3224,    115,     33,      0,       ,LOVERS LN,9311,3,1,616,Forced Air-Duc,1
3233,    222,     55,      0,       ,122 OLD AYER RD ,9431,1,,72141,Forced Air-Duc,1
3237,    115,     37,      0,       ,40 BOSTON RD,3400,1,1,728,Hot Water,1
3238,    115,     40,      0,       ,6 BOSTON RD,3250,1,1,1500,Hot Air-no Duc,1
3248,    115,     36,      0,       ,48 BOSTON RD ,3400,1,1.75,1176,Forced Air-Duc,1
3250,    222,     21,      0,       ,66-68 BOSTON RD ,3400,1,2,2168,Forced Air-Duc,1
3250,    222,     21,      0,       ,66-68 BOSTON RD ,3400,2,1,1200,Forced Air-Duc,1
3256,    222,     17,      0,       ,112 BOSTON RD,3400,1,1.75,4755,Forced Air-Duc,1
3257,    222,     18,      0,       ,110 BOSTON RD,9411,1,1,5344,Forced Air-Duc,1
3258,    222,     20,      0,       ,80 BOSTON RD,9000,1,1,7403,Forced Air-Duc,1
3260,    222,     15,      0,       ,120 BOSTON RD,3420,1,,8324,Forced Air-Duc,1
3261,    222,     16,      0,       ,116 BOSTON RD ,3250,1,1,3152,Forced Air-Duc,1
3269,    222,      5,      0,       ,152-158 BOSTON RD,0130,2,1.75,1188,Forced Air-Duc,1
3270,    235,     31,      1,       ,164 BOSTON RD,3260,1,1,2117,Forced Air-Duc,1
3289,    112,     84,      0,       ,274 MAIN ST ,3400,1,2,3928,Hot Water,1
3297,    112,     33,      0,       ,15 ELM ST,3320,1,1,3854,Forced Air-Duc,1
3305,    112,     41,      0,       ,235 MAIN ST,3250,1,2,4568,Hot Air-no Duc,1
3306,    112,     42,      0,       ,235 MAIN ST,3260,1,1,1430,Forced Air-Duc,1
3308,    112,    106,      0,       ,75 HOLLIS ST,9541,1,2,3820,Forced Air-Duc,1
3315,    112,     90,      0,       ,240 MAIN ST ,3420,1,1,11408,Forced Air-Duc,1
3321,    112,     91,      0,       ,230 MAIN ST,3250,1,1,1232,Forced Air-Duc,1
3327,    112,    109,      0,       ,78 HOLLIS ST,9341,1,1,8526,Forced Air-Duc,1
3340,    112,    123,      0,       ,74 WILLOWDALE RD ,9701,1,2.75,24140,Electr Basebrd,1
3343,    109,      3,      0,       ,99 PLEASANT ST,9351,1,2,13117,Forced Air-Duc,1
3367,    113,     75,      0,       ,39 STATION AVE,3540,1,1,4849,Forced Air-Duc,1
3374,    113,     55,      0,       ,OFF STATION AVE ,3160,1,1,7308,Forced Air-Duc,1
3451,    233,     99,      0,       ,LOWELL RD ,9711,1,1,728,None,1
3451,    233,     99,      0,       ,LOWELL RD ,9711,2,1,3200,None,1
3516,    117,     19,   3516,       ,PRESCOTT ST,9601,2,1,3200,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,1,2,6048,Hot Water,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,2,1,948,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,3,1,8616,Electr Basebrd,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,4,1,2256,Electr Basebrd,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,5,1,1320,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,6,1,6416,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,7,1,1848,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,8,1,1056,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,13,1,800,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,15,1,1056,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,21,3,3456,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,22,1,602,Hot Air-no Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,23,1,400,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,24,1,2996,Forced Air-Duc,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,27,1,1280,None,1
3529,    117,     19,      0,       ,167 PRESCOTT ST ,9602,33,1,3200,Forced Air-Duc,1
3548,    235,     16,      0,       ,316 BOSTON RD ,0310,1,2,3600,Forced Air-Duc,1
3634,    125,     83,      0,       ,185 LOST LAKE DR,9351,1,1,5643,Hot Water,1
3644,    250,     96,      0,       ,864 LOWELL RD,9711,1,1,324,Forced Air-Duc,1
3818,    219,      4,      0,       ,35 SHIRLEY RD,9410,3,1,4261,Forced Air-Duc,1
3818,    219,      4,      0,       ,35 SHIRLEY RD,9410,8,2,29643,Forced Air-Duc,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,5,1,2976,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,6,1,1530,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,7,2,6558,Forced Air-Duc,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,8,1,2902,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,9,1,2342,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,10,1,3772,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,11,2,2260,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,14,1,666,Forced Air-Duc,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,20,1,2520,None,1
3836,    219,      2,      0,       ,295 FARMERS ROW,9410,21,1,1748,None,1
3886,    222,     46,      0,       ,255 OLD AYER RD,0101,2,1.5,8029,Hot Water,1
3999,    119,      4,      0,       ,130 SANDY POND RD,920C,1,2,6007,Forced Air-Duc,1
4015,    121,     15,      0,       ,611 BOSTON RD,0130,2,1.5,2528,Forced Air-Duc,1
4016,    121,     16,      0,       ,619 BOSTON RD,3340,1,1,1280,Hot Air-no Duc,1
4090,    121,      2,      0,       ,573 BOSTON RD,0101,2,2,624,None,1
4105,    133,     55,      0,       ,768 BOSTON RD,3220,1,1,7400,Forced Air-Duc,1
4106,    120,      3,      0,       ,760 BOSTON RD #A,3240,1,1,69921,Forced Air-Duc,1
4106,    120,      3,      0,       ,760 BOSTON RD #A,3240,2,1,10000,None,1
4297,    133,      1,      0,       ,765 BOSTON RD,3260,1,1,2124,Forced Air-Duc,1
4298,    133,     54,      0,       ,788 BOSTON RD ,3420,1,1,8044,Forced Air-Duc,1
4298,    133,     54,      0,       ,788 BOSTON RD ,3420,2,1,3298,Forced Air-Duc,1
4298,    133,     54,      0,       ,788 BOSTON RD ,3420,3,1,2126,Forced Air-Duc,1
4299,    133,     11,      0,       ,1 FORGE VILLAGE RD,3400,1,2,7185,Forced Air-Duc,1
