Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Heat_Type_Desc,Line_
98,    125,     64,      0,       ,7 FIR RD,1010,1,1.5,1498,Forced Air-Duc,1
99,    125,     65,      0,       ,15 FIR RD,1010,1,2,1872,Hot Water,1
103,    125,     69,      0,       ,25 FIR RD,1010,1,1,1568,Forced Air-Duc,1
104,    125,     70,      0,       ,31 FIR RD,1010,1,1.75,2356,Hot Water,1
105,    125,     71,      0,       ,28 FIR RD,1010,1,2,1536,Hot Water,1
106,    125,     73,      0,       ,24 FIR RD,1010,1,2,2052,Forced Air-Duc,1
108,    125,     76,      0,       ,14 FIR RD,1010,1,1,1350,Hot Water,1
111,    125,     79,      0,       ,FIR RD,1010,1,1,364,None,1
113,    125,     81,      0,       ,4 FIR RD,1010,1,1.75,1469,Hot Water,1
114,    125,     82,      0,       ,175 LOST LAKE DR,1010,1,1,925,Hot Water,1
115,    125,    137,      0,       ,84 LOST LAKE DR,1010,1,1,1594,Hot Water,1
117,    125,    135,      0,       ,8 BEECHER RD ,1010,1,2,1438,Forced Air-Duc,1
118,    125,    132,      0,       ,100 LOST LAKE DR,1010,1,1,1260,Forced Air-Duc,1
119,    125,    131,      0,       ,104 LOST LAKE DR,1010,1,1.75,1350,Hot Water,1
120,    125,    133,      0,       ,9 BEECHER RD,1010,1,1,1152,Forced Air-Duc,1
121,    125,    130,      0,       ,5 CHESTNUT RD,1010,1,1,1872,Hot Water,1
122,    125,    125,      0,       ,114 LOST LAKE DR,0130,1,3,3839,Forced Air-Duc,1
124,    125,    126,      0,       ,9 CHESTNUT RD,1010,1,1,342,Electr Basebrd,1
126,    125,      9,      0,       ,89 LOST LAKE DR,1010,1,2,2269,Forced Air-Duc,1
129,    125,    123,      0,       ,124 LOST LAKE DR,1010,1,1,1408,Forced Air-Duc,1
130,    125,    122,      0,       ,120 LOST LAKE DR,1010,1,2,2384,Forced Air-Duc,1
132,    125,    120,      0,       ,136 LOST LAKE DR,1010,1,2,1984,Forced Air-Duc,1
133,    125,    119,      0,       ,8 LOOMIS LN ,1010,1,1,1128,Hot Water,1
137,    125,    114,      0,       ,144 LOST LAKE DR,1010,1,1.75,2287,Forced Air-Duc,1
138,    125,    113,      0,       ,148 LOST LAKE DR,1010,1,1.75,1814,Hot Water,1
141,    125,    117,      0,       ,9 LOOMIS LN,1010,1,2,2014,Hot Water,1
144,    125,     12,      0,       ,95 BEECHER RD,1010,1,1,1928,Forced Air-Duc,1
148,    125,    107,      0,       ,158 LOST LAKE DR,1010,1,2,2048,Hot Water,1
150,    125,    109,      0,       ,15 RHODENDA RD,1010,1,1,1180,Forced Air-Duc,1
152,    125,    111,      0,       ,11 RHODENDA RD,1010,1,1,818,Forced Air-Duc,1
156,    125,    100,      0,       ,20 CYPRESS RD,1010,1,2,1698,Hot Water,1
158,    125,    102,      0,       ,14 CYPRESS RD,1010,1,1,946,Forced Air-Duc,1
159,    125,    103,      0,       ,12 CYPRESS RD,1010,1,1,840,Forced Air-Duc,1
160,    125,    104,      0,       ,10 CYPRESS RD,1010,1,1,972,Forced Air-Duc,1
162,    125,     95,      0,       ,5 CYPRESS RD,1010,1,2,1568,Hot Water,1
163,    125,     94,      0,       ,174 LOST LAKE DR,1040,1,2,1374,Hot Water,1
164,    125,     93,      0,       ,176 LOST LAKE DR,1010,1,1,1110,Forced Air-Duc,1
166,    125,     97,      0,       ,9 CYPRESS RD,1010,1,2,1664,Forced Air-Duc,1
167,    125,     98,      0,       ,11 CYPRESS RD,1010,1,1,882,Forced Air-Duc,1
168,    125,     99,      0,       ,19 CYPRESS RD,1010,1,1,1093,Hot Water,1
169,    124,     78,      0,       ,23 CYPRESS RD,1010,1,1,630,Forced Air-Duc,1
171,    125,     88,      0,       ,186 LOST LAKE DR,1010,1,1.75,1615,Electr Basebrd,1
172,    125,     89,      0,       ,9 WHITEWOOD RD,1010,1,1,448,Forced Air-Duc,1
173,    125,     90,      0,       ,11 WHITEWOOD RD ,1010,1,1,956,Hot Water,1
174,    124,     56,      0,       ,15 WHITEWOOD RD,1010,1,1,504,Forced Air-Duc,1
175,    124,     57,      0,       ,23 WHITEWOOD RD,1010,1,1.75,1058,None,1
175,    124,     57,      0,       ,23 WHITEWOOD RD,1010,2,1.5,941,None,1
179,    124,     61,      0,       ,29 WHITEWOOD RD,1010,1,1.75,1382,Hot Water,1
180,    124,     50,      0,       ,34 INDIAN RD,1010,1,2,2961,Forced Air-Duc,1
184,    124,     52,      0,       ,32 INDIAN RD,1010,1,2,1120,Forced Air-Duc,1
186,    124,     54,      0,       ,24 INDIAN RD,1010,1,2,1812,Forced Air-Duc,1
188,    125,     87,      0,       ,10 INDIAN RD,1010,1,1,1708,Forced Air-Duc,1
191,    125,     85,      0,       ,194 LOST LAKE DR,1010,1,1,2112,Forced Air-Duc,1
195,    124,     36,      0,       ,23 INDIAN RD,1010,1,2,1156,Forced Air-Duc,1
196,    124,     37,      0,       ,25 INDIAN RD ,1010,1,1,1456,Forced Air-Duc,1
197,    124,     38,      0,       ,33 INDIAN RD,1010,1,1,800,None,1
198,    124,     39,      0,       ,35 INDIAN RD,1010,1,1,1102,Electr Basebrd,1
199,    124,     40,      0,       ,41 INDIAN RD,1010,1,2,1274,Electr Basebrd,1
200,    124,     26,      0,       ,42 TAVERN RD,1010,1,2,1120,Forced Air-Duc,1
201,    124,     27,      0,       ,40 TAVERN RD,1010,1,2,1400,Forced Air-Duc,1
202,    124,     30,      0,       ,16A-16B TAVERN RD ,1040,1,2,2200,Forced Air-Duc,1
204,    124,     32,      0,       ,8 TAVERN RD,1010,1,2,2944,Forced Air-Duc,1
206,    124,     13,      0,       ,206 LOST LAKE DR,1010,1,1,1080,Forced Air-Duc,1
207,    124,     12,      0,       ,210 LOST LAKE DR,1010,1,1,1516,Forced Air-Duc,1
208,    124,     15,      0,       ,9 TAVERN RD,1010,1,2,2765,Forced Air-Duc,1
209,    124,     16,      0,       ,15 TAVERN RD,1010,1,2,1092,Forced Air-Duc,1
210,    124,     17,      0,       ,25 TAVERN RD,1010,1,2,2826,Forced Air-Duc,1
212,    124,      9,      0,       ,CEDAR RD,1010,1,1,504,None,1
214,    124,     10,      0,       ,16 CEDAR RD,1010,1,1,1653,Forced Air-Duc,1
215,    124,     11,      0,       ,10 CEDAR RD,1010,1,1,925,Hot Water,1
216,    129,    281,      0,       ,214 LOST LAKE DR,1010,1,1,600,Floor Furnace,1
218,    129,    282,      0,       ,11 CEDAR RD,1010,1,1,510,Forced Air-Duc,1
222,    124,      6,      0,       ,21 CEDAR RD,1010,1,1,904,Forced Air-Duc,1
225,    124,      2,      0,       ,34 LONGFELLOW RD,1010,1,1,886,Forced Air-Duc,1
226,    124,      3,      0,       ,30 LONGFELLOW RD,1010,1,2,1152,Forced Air-Duc,1
228,    129,    274,      0,       ,22 LONGFELLOW RD,1010,1,1.75,1300,Forced Air-Duc,1
232,    129,    278,      0,       ,10 LONGFELLOW RD,1010,1,2,2422,Forced Air-Duc,1
234,    129,    267,      0,       ,230 LOST LAKE DR,1010,1,1.75,1728,Hot Water,1
235,    129,    265,      0,       ,6 ARROW TRL,1010,1,2,1536,Hot Water,1
237,    129,    268,      0,       ,13 LONGFELLOW RD,1010,1,2,1408,Hot Water,1
238,    129,    269,      0,       ,17 LONGFELLOW RD,1010,1,2,1120,Forced Air-Duc,1
239,    129,    270,      0,       ,21 LONGFELLOW RD,1010,1,2,1632,Hot Water,1
240,    129,    271,      0,       ,29 LONGFELLOW RD,1010,1,2,1664,Forced Air-Duc,1
242,    129,    258,      0,       ,40 ARROW TRL,1010,1,1,2138,Forced Air-Duc,1
244,    129,    260,      0,       ,34 ARROW TRL,1010,1,1,448,Forced Air-Duc,1
245,    129,    261,      0,       ,30 ARROW TRL,1010,1,1,868,Hot Water,1
247,    129,    264,      0,       ,22 ARROW TRL,1010,1,1.5,1205,Hot Water,1
248,    129,    240,      0,       ,242 LOST LAKE DR,1010,1,2,1399,Hot Water,1
249,    129,    241,      0,       ,7 ARROW TRL,1010,1,2,1888,Hot Water,1
250,    129,    242,      0,       ,15 ARROW TRL,1010,1,1.75,1862,Hot Water,1
251,    129,    243,      0,       ,27 ARROW TRL,1010,1,1,622,Hot Water,1
252,    129,    236,      0,       ,14 BALSAM WALK,1010,1,1.5,1748,Hot Water,1
256,    129,    229,      0,       ,6 BOATHOUSE RD,1010,1,1,994,Hot Water,1
257,    129,    230,      0,       ,288 LOST LAKE DR ,1010,1,2,1792,Hot Water,1
259,    129,    227,      0,       ,14 BOATHOUSE RD,1010,1,1.5,1240,Forced Air-Duc,1
261,    129,    225,      0,       ,28 BOATHOUSE RD,1010,1,2,920,Forced Air-Duc,1
267,    129,    184,      0,       ,7 BOATHOUSE RD,1010,1,1,924,Forced Air-Duc,1
268,    129,    185,      0,       ,11 BOATHOUSE RD,1010,1,2,1428,Forced Air-Duc,1
271,    129,    190,      0,       ,29 BOATHOUSE RD,1013,1,1.75,2869,Hot Water,1
