"USECODE","FUELTYPE","AREASQ"
"101","Gas",3533
"101","Oil",3510
"101","Oil",2058
"101","Gas",1048
"101","Oil",1164
"101","Oil",1774
"101","Oil",1840
"101","Gas",912
"101","Oil",1144
"101","Gas",1171
"101","Oil",1419
"101","Gas",1126
"105","Gas",1980
"101","Oil",1080
"104","Oil",1512
"101","Oil",592
"101","Oil",2293
"103","Oil",924
"101","Gas",1137
"101","Oil",1944
"101","Gas",680
"101","Oil",1236
"101","Gas",4324
"101","Oil",6790
"101","Oil",2370
"101","Oil",1711
"101","Gas",2649
"104","Gas",2348
"101","Gas",1665
"101","Gas",1464
"101","Gas",1464
"101","Gas",1464
"101","Gas",1464
"104","Gas",2096
"101","Gas",988
"101","Oil",1656
"101","Oil",2016
"101","Gas",1410
"104","Oil",2522
"101","Oil",1659
"104","Gas",3353
"101","Gas",1596
"101","Gas",1422
"104","Oil",2820
"101","Oil",1570
"101","Oil",1208
"101","Gas",2512
"101","Gas",1260
"101","Oil",972
"101","Oil",1344
"101","Gas",1517
"101","Oil",1881
"101","Gas",1744
"101","Gas",2118
"101","Oil",2104
"101","Oil",2665
"101","Gas",1156
"104","Oil",1940
"101",NA,1144
"101","Oil",1404
"101","Gas",1917
"104","Gas",2564
"101","Gas",1161
"104","Oil",2290
"101","Oil",1675
"104","Electric",1976
"104","Gas",2394
"101","Gas",1376
"101","Oil",1408
"101","Gas",1634
"101","Gas",1542
"101","Gas",1352
"101","Gas",1458
"101","Oil",1189
"104","Oil",2336
"101","Gas",1188
"101","Oil",920
"101","Gas",2472
"104","Oil",2954
"104","Gas",2448
"104","Oil",2378
"101","Gas",1896
"101","Oil",1092
"101","Oil",1224
"101","Oil",2427
"101","Gas",1050
"104","Gas",2970
"101","Oil",1599
"111","Gas",4093
"101","Oil",972
"104","Gas",2555
"101","Oil",1200
"101","Gas",1550
"101","Oil",2302
"101","Oil",1008
"101","Gas",1045
"101","Oil",1144
"104","Gas",2137
"104","Gas",1892
"105","Gas",1860
"101","Gas",1978
"101","Oil",1352
"101","Oil",1200
"101","Oil",2571
"101","Oil",1716
"101","Oil",960
"101","Gas",1305
"101","Gas",2276
"101","Oil",1578
"104","Oil",2858
"104","Gas",2428
"101","Gas",1080
"101","Gas",1080
"101","Gas",1080
"101","Gas",1080
"101","Oil",1917
"101","Oil",949
"101","Oil",2860
"101","Gas",3300
"104","Oil",2962
"101","Coal or Wood",1152
"101","Gas",1872
"101","Oil",2575
"101","Oil",3180
"101","Oil",1088
"101","Oil",2516
"101","Oil",1368
"101","Oil",1007
"101","Gas",1465
"101","Gas",2708
"101","Gas",2700
"101","Gas",1440
"104","Gas",1568
"101","Oil",1952
"101","Gas",2392
"101","Gas",1613
"101","Gas",2716
"101","Oil",1281
"101","Oil",3734
"101","Gas",1932
"101","Oil",842
"101","Electric",3483
"101","Oil",1040
"101","Electric",1404
"101","Oil",2088
"101","Gas",2853
"101","Oil",1136
"101","Oil",1170
"101","Oil",1748
"101","Oil",1344
"101","Gas",2472
"101","Gas",1639
"101","Oil",2686
"101","Oil",2466
"101","Electric",1341
"101","Electric",1341
"101","Electric",1341
"101","Electric",1341
"101","Gas",1082
"101","Gas",1082
"101","Gas",1082
"101","Gas",1082
"101","Gas",3664
"101","Oil",1830
"101","Gas",1080
"101","Oil",1528
"906","Oil",1768
"101","Oil",2968
"104","Electric",1632
"101","Oil",1276
"101","Gas",1244
"101","Oil",1008
"101","Gas",1583
"101","Oil",1116
"101","Oil",1784
"101","Oil",1040
"101","Oil",1344
"101","Oil",1200
"104","Gas",3388
"101","Gas",2082
"101","Gas",2136
"101","Gas",4019
"101","Oil",1248
"130",NA,0
"101","Gas",1512
"101","Gas",1680
"101","Oil",1372
"101","Gas",2591
"101","Oil",2208
"101","Gas",1902
"101","Gas",2808
"101","Gas",714
"101","Oil",1509
"101","Oil",1509
"101","Oil",1509
"101","Oil",1509
"101","Gas",1100
"101","Gas",1330
"101","Gas",964
"104","Gas",1950
"101","Gas",1798
"101","Oil",1408
"101","Gas",2172
"101","Gas",1585
"101","Oil",2416
"101","Oil",1584
"101","Oil",1678
"101","Gas",2658
"101","Oil",2328
"101","Oil",2328
"101","Oil",2328
"101","Oil",2328
"101","Oil",1664
"101","Oil",1664
"101","Oil",1664
"101","Oil",1664
"101","Oil",2502
"101","Oil",1080
"101","Gas",2168
"101","Oil",1196
"101","Oil",1260
"101","Oil",1068
"101","Oil",816
"101","Oil",2888
"101","Oil",3632
"101","Gas",1037
"101","Gas",3114
"101","Gas",2390
"101","Oil",2308
"101","Gas",1734
"101","Gas",2360
"101","Gas",3153
"101","Gas",1416
"101","Oil",900
"101","Oil",2675
"101","Gas",2648
"101","Gas",1207
"104",NA,1568
"101","Gas",2260
"101","Electric",1676
"101","Gas",2482
"101","Gas",2553
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"104","Electric",3476
"101","Gas",1188
"101","Oil",1216
"104","Gas",2384
"104","Gas",1745
"101","Oil",1218
"101","Oil",1456
"101","Gas",2254
"101","Oil",1604
"101","Gas",1470
"101","Oil",1968
"101","Oil",1248
"101","Gas",1212
"130",NA,0
"101","Oil",1458
"101","Gas",2466
"101","Oil",2864
"101","Oil",2188
"101","Oil",1032
"101","Oil",1342
"101","Gas",1184
"101","Gas",2536
"101","Oil",2146
"101","Oil",2146
"101","Oil",2146
"101","Oil",2146
"101","Oil",946
"104","Gas",2532
"101","Oil",1573
"101","Electric",1248
"104","Electric",1696
"101","Oil",2128
"104","Gas",2850
"101","Electric",1632
"101","Electric",1316
"101","Gas",1524
"101","Gas",1296
"101","Oil",1116
"101","Oil",1116
"101","Oil",1208
"101","Gas",1704
"101","Oil",1632
"101","Oil",1728
"101","Oil",2372
"101","Gas",1468
"101","Gas",1632
"101","Gas",1284
"101","Gas",3062
"101","Oil",1949
"101","Gas",1260
"101","Gas",1726
"101","Gas",1428
"101","Oil",2276
"101",NA,1489
"105","Gas",3002
"101","Oil",1364
"101","Oil",3695
"101","Gas",768
"101","Gas",2544
"101","Oil",2072
"101","Gas",2485
"101","Gas",2485
"101","NONE",2485
"101","NONE",2485
"109","Oil",3014
"109","Oil",4104
"101","Gas",1260
"101","Oil",1600
"101","Gas",2669
"101","Gas",3532
"101","Oil",1749
"101","Oil",1783
"802","Oil",2608
"101","Oil",1952
"101","Oil",756
"101","Oil",1512
"101","Oil",1218
"101","Gas",1528
"101","Oil",1428
"101","Gas",1331
"101","Gas",1195
"104","Gas",2400
"104","Gas",2400
"104","Gas",2400
"104","Gas",2400
"109","Coal or Wood",730
"109","Oil",1152
"101","Oil",2488
"101","Oil",1800
"101","Oil",720
"071","Oil",4276
"101","Gas",1258
"101","Oil",1782
"101","Oil",1841
"101","Gas",1288
"101","Oil",1524
"101","Oil",1428
"101","Gas",320
"101","Oil",1415
"109","Gas",384
"109","Oil",670
"101","Oil",1763
"101","Oil",1400
"101","Oil",3567
"101","Oil",1938
"101","Oil",1466
"101","Oil",1275
"101",NA,1224
"101","Gas",1123
"101","Oil",1624
"101","Oil",1944
"101","Gas",1870
"101","Gas",1870
"101","Gas",1870
"101","Gas",1870
"101","Oil",2668
"101","Oil",1092
"104","Gas",2128
"101","Gas",2211
"101","Oil",1412
"104","Gas",2565
"105","Gas",3188
"101","Oil",1152
"101","Gas",3622
"101","Oil",1632
"101","Gas",1581
"101","Gas",3926
"101","Gas",1448
"101","Gas",912
"101","Gas",1644
"101","Oil",1092
"109","Gas",746
"109","Gas",832
"101","Gas",1919
"101","Gas",1480
"101","Gas",1771
"101","Oil",832
"101","Gas",875
"101","Oil",2060
"101","Oil",1234
"101","Oil",1632
"101","Oil",1528
"101","Oil",1044
"101","Gas",1270
"111","Gas",2714
"101","Gas",3571
"101","Oil",2216
"101","Gas",936
"101","Gas",1185
"101","Oil",1283
"101","Oil",1484
"101","Gas",1024
"101","Gas",1500
"101","Gas",1546
"101","Gas",1554
"101","Gas",2062
"101","Oil",1008
"101","Oil",1336
"101","Gas",2648
"101","Oil",1683
"101","Gas",1048
"101","Gas",1508
"101","Oil",1328
"101","Oil",2277
"101","Gas",1365
"101","Oil",1192
"101","Oil",1677
"101","Gas",1592
"101","Gas",2355
"101","Gas",1256
"101","Gas",1256
"101","Gas",1256
"101","Gas",1256
"104","Oil",4380
"101","Oil",2168
"101","Oil",1632
"101","Gas",1900
"101","Gas",1536
"101","Gas",1257
"104","Gas",2494
"101","Oil",1260
"101","Oil",4141
"101","Oil",1696
"101","Oil",2200
"101","Oil",1224
"101","Gas",1105
"101","Gas",1704
"101","Gas",1728
"101","Gas",2369
"101","Gas",2000
"101","Oil",1566
"101","Oil",1596
"101","Oil",2315
"104","Gas",2115
"101","Gas",1920
"101","Gas",1764
"101","Gas",1764
"101","Gas",1764
"101","Gas",1764
"101","Oil",1864
"101","Oil",1704
"101","Oil",1176
"101","Oil",2326
"101",NA,864
"101","Gas",2790
"101","Oil",2124
"101","Oil",960
"111","Gas",5434
"104","Gas",2682
"101","Oil",864
"101","Oil",3671
"101","Gas",2592
"101","Oil",1211
"101","Oil",1540
"101","Gas",1866
"101","Gas",2218
"101","Gas",1470
"104","Oil",1575
"101","Oil",1680
"101","Oil",806
"101","Gas",1380
"101","Gas",863
"104","Oil",2854
"104","Gas",3525
"104","Oil",2176
"104","Gas",2464
"101","Gas",1764
"101","Electric",1624
"112","Gas",1612
"101","Gas",1780
"101","Gas",1736
"101","Oil",960
"101","Gas",1172
"104","Oil",2090
"101","Gas",869
"101","Gas",2028
"104","Oil",2538
"101","Gas",1692
"101","Oil",1476
"101","Gas",1774
"104","Gas",1412
"101","Gas",1873
"101","Oil",2943
"013","Oil",1092
"101","Gas",3072
"105","Gas",3730
"104","Gas",2944
"104","Gas",3150
"101","Oil",1592
"101","Oil",1527
"101","Oil",1527
"101","Oil",1527
"101","Oil",1527
"101","Oil",1232
"101","Oil",1215
"101","Gas",1638
"101","Oil",1200
"101","Gas",2836
"104","Gas",2256
"104","Gas",2080
"101","Oil",2180
"101","Oil",1684
"101","Oil",800
"101","Gas",2777
"101","Oil",1394
"101","Gas",2566
"101","Oil",1224
"101","Oil",1394
"953","Oil",1902
"101","Gas",2805
"101","Oil",2008
"101","Oil",1120
"101","Gas",2556
"101","Gas",1512
"101","Oil",1508
"101","Oil",1918
"101","Gas",1200
"101","Gas",2328
"101","Oil",960
"101","Oil",1140
"101","Oil",1840
"101","Gas",1568
"101","Oil",1144
"101","Gas",1540
"101","Oil",768
"101","Oil",3092
"101","Oil",1528
"101","Oil",1328
"101","Gas",1146
"101","Electric",1710
"101","Gas",1842
"101","Oil",1193
"101","Oil",3832
"101","Oil",3832
"101","Oil",3832
"101","Oil",3832
"101","Electric",2480
"010","Oil",1361
"101","Oil",3053
"101","Oil",1200
"101","Gas",2289
"101","Oil",1446
"101","Oil",2692
"101","Gas",1830
"101","Gas",2240
"101","Oil",1405
"101","Electric",1984
"101","Gas",3044
"101","Gas",1152
"101","Electric",1972
"101","Oil",1092
"101",NA,1607
"101",NA,1607
"101","Gas",1607
"101","Gas",1607
"101","Oil",1152
"101","Gas",1007
"101","Oil",1272
"101","Oil",1161
"101","Gas",2718
"101","Gas",2718
"101","Gas",2718
"101","Gas",2718
"101","Oil",1596
"101","Gas",928
"101","Gas",1276
"101","Electric",1716
"101","Gas",2400
"104","Gas",1875
"101","Gas",2363
"101","Oil",2390
"101","Gas",2166
"101","Oil",1040
"101","Oil",1428
"101","Oil",1728
"101","Oil",1137
"101","Oil",1568
"101","Oil",1626
"104","Oil",2703
"101","Oil",1512
"101","Oil",1876
"101","Oil",2080
"101","Gas",3516
"101","Oil",1163
"101","Gas",2878
"101","Oil",1040
"101","Oil",2450
"101","Oil",1604
"101","Gas",1224
"101","Oil",2501
"101","Oil",1936
"101","Oil",1232
"101","Gas",1947
"101","Gas",1308
"101","Oil",1568
"101","Gas",1248
"101","Gas",2416
"101","Oil",1728
"101","Gas",1608
"101","Oil",1428
"101","Oil",1144
"101","Oil",1376
"101","Gas",1037
"104","Electric",1680
"101","Gas",2584
"101","Oil",1576
"101","Oil",2136
"111","Electric",3136
"010","Gas",2928
"101","Gas",1650
"101","Oil",1428
"101","Oil",1102
"101","Oil",1183
"101","Gas",2756
"010","Oil",2002
"101","Oil",1626
"101","Gas",1078
"101","Oil",1080
"101","Gas",1708
"101","Oil",2272
"101","Oil",2272
"101","Oil",2272
"101","Oil",2272
"101","Oil",1840
"101","Gas",1677
"101","Gas",1602
"101","Gas",942
"101","Oil",1492
"101","Oil",1940
"101","Oil",1632
"101","Oil",2016
"101","Gas",3094
"101","Gas",3094
"101","Oil",3094
"101","Oil",3094
"010","Gas",2446
"101","Oil",1464
"101","Oil",1932
"101","Gas",3118
"101","Gas",3118
"101","Oil",3118
"101","Oil",3118
"101","Oil",1650
"101","Oil",1288
"101","Gas",2518
"101","Oil",1349
"101","Oil",2406
"101","Oil",2277
"101","Oil",2061
"101","Gas",1860
"101","Oil",2172
"101","Oil",1803
"104","Gas",4088
"101","Gas",1040
"101","Oil",1248
"101","Electric",840
"101","Oil",1792
"101","Gas",3471
"101","Oil",936
"101","Gas",1764
"101","Oil",1440
"101","Oil",1568
"101","Gas",1110
"101","Gas",2216
"101","Electric",768
"101","Gas",2326
"101","Oil",2358
"101","Oil",1144
"101","Oil",1800
"101","Gas",1376
"101","Gas",2388
"101","Gas",1092
"101","Oil",1512
"101","Gas",2070
"101","Oil",2270
"101","Gas",1930
"101","Gas",688
"101","Gas",2057
"101","Gas",2057
"101","Gas",2057
"101","Gas",2057
"101","Gas",1761
"101","Gas",2160
"104","Oil",2226
"101","Gas",1529
"101","Gas",2797
"101","Oil",2878
"101","Gas",2152
"101","Oil",1180
"104","Oil",2796
"101","Electric",1445
"101","Oil",2918
"101","Oil",1508
"101","Gas",1574
"101","Gas",1574
"101","Gas",1574
"101","Gas",1574
"101","Gas",5723
"101","Oil",1608
"101","Oil",1456
"101","Gas",2584
"101","Gas",2473
"101",NA,1986
"101","Gas",2052
"109","Oil",1254
"109","Gas",3729
"101","Oil",1232
"961","Oil",936
"970","Oil",3502
"101","Oil",2060
"101","Gas",1185
"104","Oil",2263
"101","Gas",2488
"101","Oil",720
"101","Oil",1232
"101",NA,1040
"101","Gas",1162
"101","Gas",1326
"101","Oil",960
"104","Gas",2148
"101","Gas",1600
"101","Oil",1628
"101","Oil",1094
"101","Gas",1838
"101","Gas",2080
"101","Oil",1440
"101","Oil",2280
"970","Oil",2134
"101","Oil",1427
"101","Oil",1674
"101","Oil",2736
"101","Oil",912
"101","Gas",1280
"101",NA,1080
"101","Oil",1932
"101","Oil",1407
"101","Oil",1288
"101","Gas",2953
"105","Gas",2504
"101","Oil",1440
"970","Gas",2200
"101","Oil",2173
"101","Oil",1309
"101","Gas",2984
"101","Gas",2575
"101","Gas",1056
"101","Oil",1096
"104","Gas",3150
"101","Oil",1528
"101","Oil",1325
"101","Gas",1568
"101","Gas",1440
"101","Oil",1188
"101","Oil",1188
"101","Oil",1188
"101","Oil",1188
"101","Gas",1191
"101","Gas",3390
"101","Oil",1570
"101","Gas",2384
"104","Oil",2941
"101","Gas",2347
"101","Gas",2500
"101","Oil",1393
"101","Gas",2251
"101","Oil",984
"104","Gas",2715
"101","Gas",2232
"101","Oil",2084
"101","Gas",1320
"101","Oil",1768
"101","Oil",1822
"101","Gas",1251
"101","Gas",1472
"101","Gas",2643
"101","Oil",2016
"101","Oil",2352
"101","Electric",2252
"101","Oil",1450
"101","Oil",1056
"101","Oil",1080
"101","Gas",1218
"104","Oil",1431
"101","Oil",1686
"101","Oil",2070
"101","Oil",1248
"101","Gas",2988
"101","Oil",1092
"101","Gas",1126
"101","Oil",1284
"101","Gas",1337
"101","Gas",1134
"105","Gas",3378
"101","Gas",2334
"101","Gas",1500
"104","Oil",2056
"101","Gas",1223
"104","Gas",2050
"101","Oil",1664
"101","Gas",1696
"101","Gas",2087
"101","Gas",1118
"104","Gas",2609
"101","Oil",1146
"111","Gas",3988
"101","Oil",1906
"101","Gas",1360
"101","Oil",1300
"105","Gas",2933
"101","Oil",1596
"105","Gas",2961
"101","Gas",2882
"101","Gas",2545
"101","Gas",2545
"101","Gas",2545
"101","Gas",2545
"013","Gas",3096
"101","Oil",1232
"101","Oil",1139
"101","Gas",1532
"101","Gas",1926
"101","Oil",924
"101","Oil",1222
"101","Gas",2621
"104","Oil",2480
"105","Oil",2863
"101","Gas",1906
"101","Gas",1224
"101","Gas",1346
"101","Oil",2182
"105","Gas",2910
"101","Oil",1648
"101","Oil",1264
"104","Oil",3215
"101","Gas",2946
"101","Oil",2434
"101","Gas",2060
"101","Gas",1048
"101","Oil",2184
"101","Gas",1037
"101","Oil",1111
"104","Gas",3736
"101","Gas",3470
"101","Gas",1390
"101","Oil",840
"101","Gas",2596
"104","Oil",2392
"101","Gas",1470
"101","Oil",1344
"101","Gas",1384
"101","Gas",1104
"101","Gas",1081
"101","Gas",2068
"101","Gas",1316
"101","Oil",1424
"101","Gas",2712
"101","Oil",2152
"101","Oil",792
"101",NA,1252
"101","Oil",1244
"101","Oil",1352
"101","Oil",1716
"101","Electric",1394
"111","Gas",4212
"101","Oil",2458
"101","Gas",1424
"101","Oil",2040
"101","Gas",1204
"101","Oil",1232
"101","Gas",2662
"104","Gas",2368
"101","Gas",1288
"101","Oil",1764
"101","Oil",1252
"101","Gas",3838
"101","Gas",2060
"101","Oil",960
"101","Oil",2759
"101","Oil",1495
"101","Gas",2126
"104","Oil",1748
"101","Oil",3295
"101","Oil",1624
"101","Oil",1236
"101","Oil",1092
"101","Oil",1561
"101","Oil",1154
"101","Gas",1512
"101","Oil",1632
"101","Gas",1870
"101","Oil",1800
"104","Oil",1536
"101","Gas",3177
"101","Oil",1065
"101","Gas",1562
"109","Oil",1589
"109","Oil",1152
"101",NA,2992
"101",NA,2992
"101","Gas",2992
"101","Gas",2992
"101","Gas",698
"101","Gas",1469
"101","Gas",1596
"101","Gas",2056
"101","Gas",2834
"101","Oil",1080
"101","Oil",1100
"101","Gas",1999
"101","Oil",1176
"104","Gas",1816
"104","Gas",2240
"101","Gas",1680
"101","Oil",960
"101","Gas",2347
"101","Oil",1144
"101","Gas",1144
"101","Gas",2524
"101","Gas",1768
"101","Oil",2583
"101","Oil",2583
"101","Oil",2583
"101","Oil",2583
"101","Gas",1080
"101","Gas",1074
"101","Oil",1428
"101","Gas",1264
"101","Gas",672
"101","Gas",2898
"101","Oil",1334
"101","Oil",1818
"101","Gas",1700
"101","Oil",1088
"104","Oil",1768
"101","Oil",1182
"104","Electric",1590
"101","Gas",1164
"101","Oil",1352
"101","Gas",864
"101","Oil",1296
"101","Oil",1856
"101","Oil",1759
"101","Oil",1084
"101","Oil",3128
"101","Oil",2288
"101","Oil",1704
"101","Oil",2072
"101","Oil",1232
"101","Gas",1368
"101","Oil",1116
"105","Gas",3048
"101","Gas",2561
"101","Oil",1952
"101","Gas",2087
"711","Oil",984
"101","Oil",3126
"101","Electric",1983
"101","Oil",1590
"101","Gas",1811
"111","Gas",4380
"101","Oil",4706
"101","Oil",1602
"101","Gas",1392
"101","Gas",1070
"101","Gas",1215
"104","Electric",2016
"101","Gas",2176
"101","Oil",1946
"101","Oil",1820
"101","Gas",3412
"101","Gas",3412
"101","Gas",3412
"101","Gas",3412
"101","Gas",2776
"101","Gas",980
"101","Oil",2128
"101","Oil",1268
"101","Oil",1632
"101","Gas",1759
"101","Oil",1053
"101","Oil",1630
"101","Oil",1630
"101","Oil",1630
"101","Oil",1630
"101","Oil",1240
"101","Oil",1770
"101","Gas",2832
"101","Oil",4594
"105","Gas",4378
"101","Oil",1632
"101","Gas",1668
"101","Oil",2348
"101","Oil",1116
"101","Gas",2128
"101","Oil",1396
"101","Oil",1905
"101","Oil",1248
"101","Oil",1992
"101","Gas",2860
"101","Oil",1376
"101","Oil",1236
"101","Oil",1766
"101","Oil",1265
"101","Oil",1440
"101","Gas",3343
"101","Oil",1440
"101","Gas",2472
"101","Oil",2254
"101","Oil",1096
"101","Oil",3730
"109","Gas",589
"109","Gas",960
"101","Gas",1947
"101","Gas",1836
"101","Oil",1632
"101","Oil",1428
"101","Oil",2469
"101","Gas",1453
"101","Oil",1484
"101","Oil",988
"105","Gas",4970
"101","Oil",2224
"104","Oil",2388
"101","Gas",1286
"101","Gas",3014
"101","Gas",2366
"101","Gas",1030
"101","Oil",1084
"101","Gas",1425
"101","Gas",1932
"101","Oil",1584
"101","Oil",1822
"101","Oil",2496
"101",NA,1750
"101","Oil",1218
"101","Gas",864
"901","Oil",737
"712","Oil",850
"101","Oil",1560
"101","Oil",3044
"101","Gas",2774
"101","Gas",2774
"101","Gas",2774
"101","Gas",2774
"101","Oil",1350
"101","Oil",1512
"101","Oil",2884
"101","Oil",1152
"104","Gas",2504
"101","Gas",4050
"101","Oil",1152
"101","Oil",1828
"910","Oil",972
"101","Oil",1970
"101","Oil",1970
"101","Oil",1970
"101","Oil",1970
"101","Electric",1084
"101","Oil",1876
"101","Coal or Wood",832
"101","Oil",1758
"104","Oil",2760
"101","Gas",2612
"101","Gas",1224
"101","Gas",1505
"101","Gas",1152
"101","Gas",1311
"101","Gas",1892
"101","Oil",1696
"101","Gas",1037
"101","Gas",1382
"101","Gas",1525
"101","Oil",1596
"101","Gas",3206
"101","Gas",2612
"101","Oil",1884
"101","Oil",2136
"104","Oil",2996
"101","Oil",2533
"101","Oil",1727
"101","Gas",1152
"104","Gas",1368
"104","Gas",3052
"104","Gas",3680
"101","Gas",1421
"101","Oil",2280
"101","Gas",1570
"101","Gas",1760
"101","Gas",2481
"101","Coal or Wood",1508
"111","Gas",3049
"101","Gas",830
"101","Oil",1976
"101","Gas",1946
"101","Oil",1876
"101","Oil",2156
"101","Oil",1248
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","Gas",1364
"101","NONE",1364
"101","NONE",1364
"101","NONE",1364
"101","NONE",1364
"101","Gas",1288
"101","Oil",1792
"101","Gas",1619
"101","Gas",1198
"101","NONE",1464
"101","NONE",1464
"101","Oil",1464
"101","Oil",1464
"101","Oil",2280
"101","Gas",1554
"104","Oil",2941
"105","Gas",2077
"101","Gas",1420
"101","Gas",1339
"101","Oil",1618
"101","Gas",1547
"101","Gas",1080
"101","Gas",1430
"109","Gas",1036
"109","Gas",2171
"104","Oil",1824
"105","Gas",2799
"101","Gas",3604
"101","Oil",1783
"104","Gas",3063
"101","Gas",1734
"104","Gas",3109
"101","Gas",4211
"101","Oil",1551
"101","Oil",1632
"101","Gas",2088
"104","Oil",2520
"101","Oil",1512
"101","Oil",1116
"104","Gas",3164
"101","Gas",2243
"101","Oil",864
"101","Oil",1272
"101","Oil",1300
"101","Oil",1498
"101","Oil",1408
"101","Gas",1032
"101","Oil",1568
"101","Oil",1904
"101","Oil",1904
"101","Oil",1904
"101","Oil",1904
"104","Oil",1736
"101","Oil",1304
"104","Gas",1530
"104","Gas",2451
"101","Gas",2808
"101","Gas",1502
"104","Gas",1901
"101","Gas",837
"104","Gas",1830
"101","Oil",1913
"104","Oil",2500
"104","Gas",1880
"101","Gas",2270
"101","Oil",1436
"101","Oil",1311
"101","Oil",1560
"101","Oil",1248
"101","Oil",1240
"101","Oil",1440
"101","Electric",994
"101","Oil",980
"101","Oil",1465
"101","Gas",1740
"101","Gas",1376
"101","Gas",2010
"104","Gas",1750
"101","Gas",1528
"104","Gas",2360
"101","Gas",2075
"101","Gas",1120
"101","Oil",1748
"101","Oil",2352
"101","Gas",1980
"101","Gas",2006
"101","Oil",1079
"104","Oil",2450
"101","Gas",1445
"101","Gas",1098
"101","Gas",2873
"101","Gas",1632
"101","Oil",1722
"101","Gas",1006
"101","Gas",1724
"101","Oil",1080
"101","Gas",2184
"104","Oil",2128
"101","Gas",1665
"104","Gas",2262
"101","Oil",1688
"959","Oil",2460
"101","Gas",1472
"104","Electric",1288
"101","Gas",1312
"101","Oil",1464
"101","Oil",1650
"101","Gas",1710
"101","Gas",1710
"101","Oil",1710
"101","Oil",1710
"101","Gas",1092
"101","Gas",864
"101","Oil",1437
"104","Gas",4428
"101","Oil",1424
"101","Oil",1424
"101","Oil",1424
"101","Oil",1424
"101","Gas",1844
"101","Oil",1626
"101","Oil",1764
"101","Gas",3387
"101","Oil",2090
"101","Gas",2129
"101","Gas",1025
"101","Oil",1116
"101","Gas",2206
"101","Electric",1554
"101","Gas",2484
"101","Gas",2484
"101","Gas",2484
"101","Gas",2484
"104","Gas",2226
"101","Oil",1608
"101","Gas",2768
"101","Gas",1968
"101","Gas",2326
"101","Oil",1146
"101","Gas",2100
"101","Gas",1318
"101","Oil",1677
"104","Gas",2380
"101","Gas",1256
"101","Gas",1026
"101","Oil",1210
"105","Gas",3063
"101","Oil",1324
"101","Gas",1750
"101","Gas",1750
"101","Gas",1750
"101","Gas",1750
"109","Oil",540
"109","Oil",1600
"101","Gas",3432
"101","Oil",1802
"101","Oil",1224
"101","Oil",1356
"101","Oil",1324
"101",NA,980
"101","Oil",1938
"101","Oil",1664
"101","Gas",3403
"101","Electric",2880
"101","Gas",1778
"101","Oil",2748
"101","Oil",2040
"101","Electric",2710
"104","Oil",2550
"105","Electric",2435
"101","Gas",1955
"101","Oil",1037
"101","Gas",2068
"101","Oil",1528
"101","Oil",2080
"101","Oil",1514
"101","Gas",2406
"101","Gas",2388
"101","Oil",1494
"101","Oil",1240
"101","Oil",1960
"104","Gas",1710
"101","Gas",1414
"101","Gas",2160
"101","Oil",1224
"101","Oil",820
"101","Oil",1736
"104","Gas",1846
"101","Oil",1638
"101","Oil",1688
"101","Oil",1120
"101","Oil",1550
"101","Oil",1285
"101","Gas",1645
"101","Oil",1661
"101","Oil",1584
"101","Oil",1316
"961","Oil",1500
"961","Oil",1500
"961","Oil",1500
"961","Oil",1500
"101","Gas",916
"101","Gas",916
"101","Gas",916
"101","Gas",916
"101","Oil",2088
"104","Oil",2228
"101","Gas",1652
"101","Oil",1446
"101","Oil",1824
"101","Oil",1296
"101","Oil",1386
"101","Gas",2560
"101","Oil",1275
"101","Gas",1696
"101","Oil",988
"101","Oil",1874
"101","Oil",2924
"101","Gas",1945
"104","Oil",2928
"101","Gas",1048
"101","Oil",1452
"101","Gas",1204
"101","Oil",1848
"101","Gas",960
"101","Gas",3077
"101","Oil",2697
"101","Gas",1471
"101","Gas",1368
"101","Oil",1188
"101","Gas",2128
"101","Gas",2428
"101","Gas",2428
"101","Gas",2428
"101","Gas",2428
"101","Gas",1942
"101","Gas",1464
"101","Gas",1150
"101","Electric",2219
"101","Oil",1356
"101","Gas",3062
"101","Oil",2426
"101","Oil",1344
"101","Gas",3831
"101","Oil",1456
"101","Gas",1632
"101","Oil",1164
"101","Oil",1584
"101","Oil",1248
"101","Gas",2934
"101","Oil",2455
"101","Oil",1495
"101","Gas",1812
"101","Oil",1776
"101","Oil",1428
"101","Gas",4771
"101","Oil",1248
"101","Oil",1440
"101",NA,1620
"101","Gas",1890
"101","Oil",1213
"101","Oil",1008
"101","Gas",2204
"101","Oil",1535
"101","Oil",1952
"101","Oil",594
"101","Oil",1198
"801","Oil",2432
"101","Gas",1263
"101","Electric",1123
"101","Oil",1230
"101","Oil",1756
"101","Gas",1960
"101","Oil",1601
"101","Oil",1654
"101","Gas",1140
"101","Gas",1323
"101","Oil",2239
"101","Gas",1813
"101","Gas",2014
"101","Oil",1654
