"USECODE","FUELTYPE","AREASQ"
"332","Oil",525
"332","Oil",784
"332","Oil",2000
"341","Gas",2772
"970","Typical",3462
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"970","Typical",5094
"316","Oil",4852
"316","Oil",3840
"400","Oil",2400
"316","Typical",3786
"316","Gas",86790
"316","Oil",6400
"316","Gas",15286
"373","Typical",2130
"330","Gas",1260
"011","Gas",13850
"400","Gas",127500
"901",NA,1440
"901",NA,2672
"901",NA,3044
"901",NA,3401
"901",NA,3768
"901",NA,4000
"901",NA,4800
"901",NA,5092
"901",NA,6000
"901",NA,8344
"901",NA,9464
"901",NA,9796
"901",NA,10648
"901",NA,11280
"901",NA,12292
"901",NA,18100
"901",NA,18308
"901",NA,19224
"901",NA,21405
"901",NA,42312
"934","Typical",264759
"316","Gas",2560
"960","Typical",22152
"401","Gas",7080
"401","Gas",227400
"334","Coal or Wood",595
"334","Oil",1786
"334","Oil",1786
"334","Oil",1786
"334","Oil",1786
"340","Typical",9888
"366","Gas",86524
"326","Gas",4167
"400","Gas",13584
"140","Oil",6691
"316","Electric",3024
"112","Electric",8215
"112","Electric",16430
"322","Oil",1772
"332","Oil",1916
"400","Gas",5814
"322","Typical",1560
"959","Gas",3361
"326","Oil",7386
"322","Gas",1482
"011","Oil",19808
"901","Oil",3645
"301","Electric",22100
"301","Gas",1403
"960","Gas",8668
"316","Oil",2432
"322","Oil",7664
"332","Oil",1640
"032","Gas",2880
"400","Gas",13302
"430","Oil",7447
"322","Gas",7540
"112","Electric",10284
"112","Electric",23904
"316","Gas",34754
"961","Typical",2700
"400","Oil",6655
"011","Gas",5394
"342","Oil",8830
"322","Gas",15108
"322","Oil",4032
"316","Oil",1696
"340","Gas",19562
"340","Gas",19562
"340","Gas",19562
"340","Gas",19562
"957","Gas",5260
"340","Gas",3256
"400","Oil",14616
"400","NONE",169668
"330","Oil",2200
"316","Gas",7930
"316","Oil",4548
"931","Gas",47250
"931","Gas",10059
"931","Gas",42507
"326","Gas",3831
"334","NONE",1818
"334","NONE",3552
"401","Gas",242152
"401","Gas",242152
"401","Gas",242152
"401","Gas",242152
"316","Gas",140840
"316","Gas",306009
"322","Gas",2440
"322","Gas",7490
"400","Oil",99554
"400","Gas",4140
"322","Oil",2958
"322","Oil",3690
"333","Gas",4800
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"316","Gas",31198
"901","Typical",3120
"340","Oil",18000
"032","Oil",2889
"112","Gas",5520
"112","Oil",5520
"332","Gas",4752
"400","Oil",17530
"316","Oil",1e+05
"960","Typical",3840
"340","Oil",2706
"353","Oil",3596
"400","Gas",43679
"957","Typical",18370
"340","Oil",22856
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"316","Gas",20774
"326","Gas",2368
"340","Oil",1736
"316","Oil",1380
"332","Oil",3049
"323","Gas",2856
"323","Gas",32626
"323","Gas",67900
"323","Gas",18504
"332","Oil",1896
"332","Oil",6540
"316","Electric",21160
"333","Gas",4350
"332","Oil",663
"322","Oil",1650
"957","Typical",3310
"400","Oil",3920
"400","Oil",8260
"322","Oil",10128
"322","Gas",14235
"322","Oil",5074
"322","Oil",15844
"011","Oil",5400
"322","Oil",1600
"332","Oil",3700
"322","Oil",1750
"316","Gas",10150
"400","Oil",6780
"340","Gas",1763
"112","Oil",17832
"112","Oil",17832
"316","Oil",2628
"112","Gas",100908
"322","Gas",3020
"316","Gas",21652
"316","Oil",9800
"013","Gas",1310
