"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","OIL",12871,"2.00"
"101","OIL",1716,"1.00"
"104","COAL/WOOD",6258,"2.00"
"101","COAL/WOOD",1498,"1.00"
"105","OIL",7829,"2.00"
"101","OIL",1762,"1.00"
"101","OIL",7561,"2.00"
"106",NA,NA,NA
"101","COAL/WOOD",1904,"1.50"
"109","GAS",2873,"1.00"
"101","OIL",2070,"2.00"
"109","COAL/WOOD",3368,"2.00"
"101","NONE",3142,"2.00"
"101","COAL/WOOD",5261,"2.00"
"101","COAL/WOOD",3524,"2.00"
"101","OIL",4430,"2.00"
"101","OIL",7708,"2.00"
"101","COAL/WOOD",3420,"2.00"
"101","COAL/WOOD",448,"1.00"
"101","COAL/WOOD",1430,"1.50"
"101","OIL",1236,"1.00"
"101","OIL",1644,"1.00"
"101","COAL/WOOD",350,"1.00"
"451","COAL/WOOD",1518,"1.00"
"106",NA,NA,NA
"106",NA,NA,NA
"106",NA,NA,NA
"101","GAS",2172,"1.50"
"132",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"101","ELECTRIC",2456,"2.00"
"905","OIL",1968,"1.50"
"111","OIL",3515,"3.00"
"131",NA,NA,NA
"109","ELECTRIC",2363,"2.00"
"910",NA,NA,NA
"132",NA,NA,NA
"101","OIL",1944,"2.00"
"109","GAS",1324,"1.00"
"101","ELECTRIC",1472,"1.00"
"903",NA,NA,NA
"101","OIL",3056,"1.00"
"101","COAL/WOOD",386,"1.00"
"101","OIL",1899,"1.00"
"101","OIL",4610,"1.00"
"101","OIL",2534,"2.00"
"101","OIL",1587,"1.00"
"130",NA,NA,NA
"130",NA,NA,NA
"132",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"132",NA,NA,NA
"101","COAL/WOOD",672,"2.00"
"132",NA,NA,NA
"101","GAS",2023,"1.00"
"910",NA,NA,NA
"101","OIL",960,"1.00"
"910",NA,NA,NA
"106","ELECTRIC",1120,"2.00"
"132",NA,NA,NA
"132",NA,NA,NA
"130",NA,NA,NA
"132",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"130",NA,NA,NA
"132",NA,NA,NA
"101","NONE",1206,"1.00"
"910",NA,NA,NA
"910",NA,NA,NA
