"USECODE_char","FUELTYPE","AREASQ","STORYHEIGHT","USECODE"
"Single Family Residence","OIL",2266,2,101
"Single Family Residence","OIL",2592,2,101
"Single Family Residence","OIL",1979,1,101
"Single Family Residence","OIL",3984,3,101
"Single Family Residence","OIL",2200,2,101
"Single Family Residence","GAS",3712,2,101
"Single Family Residence","OIL",3362,2,101
"Single Family Residence","OIL",2256,2,101
"Single Family Residence","OIL",2284,2,101
"Single Family Residence","OIL",2142,1.7,101
"Single Family Residence","OIL",3552,2,101
"Single Family Residence","OIL",2670,2,101
"Single Family Residence","OIL",2580,2,101
"Single Family Residence","OIL",2150,1,101
"Single Family Residence","OIL",4011,2,101
"Single Family Residence","OIL",4027,2,101
"Single Family Residence","GEO THERMAL",5056,2,101
"Single Family Residence","OIL",2364,1.7,101
"Single Family Residence","OIL",4074,2,101
"Single Family Residence","OIL",3356,2,101
"Single Family Residence","OIL",2080,2,101
"Single Family Residence","OIL",2636,2,101
"Single Family Residence","GAS",2320,2,101
"Single Family Residence","OIL",2364,2,101
"Single Family Residence","OIL",2429,1.7,101
"Single Family Residence","OIL",2054,1.7,101
"Single Family Residence","PROPANE-TANK",2940,2,101
"Single Family Residence","OIL",2240,2,101
"Single Family Residence","GAS",2860,1,101
"Single Family Residence","OIL",3650,2,101
"Single Family Residence","OIL",2732,2,101
"Single Family Residence","OIL",3706,2,101
"Single Family Residence","OIL",3456,2,101
"Single Family Residence","OIL",2240,2,101
"Single Family Residence","PROPANE-TANK",1979,1.7,101
"Single Family Residence","OIL",2766,2,101
"Single Family Residence","OIL",4580,1.7,101
"Single Family Residence","OIL",3754,2,101
"Single Family Residence","OIL",3116,2,101
"Single Family Residence","OIL",3647,2,101
"Single Family Residence","OIL",3208,2,101
"Single Family Residence","OIL",2952,2,101
"Single Family Residence","OIL",3500,2,101
"Single Family Residence","OIL",5220,2.7,101
"Single Family Residence","OIL",2936,1,101
"Single Family Residence","OIL",1500,1,101
"Single Family Residence","OIL",1992,1.7,101
"Single Family Residence","OIL",2464,2,101
"Single Family Residence","OIL",2980,2,101
"Single Family Residence","OIL",2368,2,101
"Single Family Residence","OIL",3348,2,101
"Single Family Residence","OIL",3529,2,101
"Single Family Residence","OIL",4355,1,101
"Single Family Residence","OIL",3552,2,101
"Single Family Residence","OIL",2752,2,101
"Single Family Residence","OIL",5958,1,101
"Single Family Residence","OIL",3364,2,101
"Single Family Residence","OIL",3168,2,101
"Single Family Residence","OIL",3314,2,101
"Single Family Residence","GAS",2808,1,101
"Single Family Residence","OIL",2112,1.7,101
"Single Family Residence","OIL",1890,1.7,101
"Single Family Residence","GAS",3213,1,101
"Single Family Residence","GAS",1999,1,101
"Single Family Residence","GAS",1688,1,101
"Single Family Residence","GAS",1664,1,101
"Single Family Residence","GAS",2412,1,101
"Single Family Residence","GAS",1672,1,101
"Single Family Residence","GAS",2540,1,101
"Single Family Residence","GAS",1296,1,101
"Single Family Residence","GAS",3656,1,101
"Single Family Residence","GAS",1532,1,101
"Single Family Residence","GAS",2182,1,101
"Single Family Residence","GAS",2600,1,101
"Single Family Residence","GAS",2432,1,101
"Single Family Residence","GAS",1844,1,101
"Single Family Residence","GAS",2195,1,101
"Single Family Residence","GAS",1532,1,101
"Single Family Residence","GAS",1836,1,101
"Single Family Residence","GAS",1496,1,101
"Single Family Residence","GAS",1610,1,101
"Single Family Residence","GAS",1344,1,101
"Single Family Residence","GAS",1680,1,101
"Single Family Residence","GAS",1895,1,101
"Single Family Residence","GAS",1104,1,101
"Single Family Residence","GAS",960,1,101
"Single Family Residence","GAS",3911,1,101
"Single Family Residence","GAS",1496,1,101
"Single Family Residence","GAS",1948,1,101
"Single Family Residence","GAS",1896,1,101
"Single Family Residence","GAS",2280,1,101
"Single Family Residence","GAS",1104,1,101
"Single Family Residence","ELECTRIC",1512,1,101
"Single Family Residence","ELECTRIC",1608,1,101
"Single Family Residence","ELECTRIC",2135,1,101
"Single Family Residence","GAS",2404,1,101
"Single Family Residence","GAS",1463,1,101
"Single Family Residence","GAS",1607,1,101
"Single Family Residence","GAS",1104,1,101
"Single Family Residence","GAS",2720,1,101
"Single Family Residence","GAS",3416,2,101
"Single Family Residence","OIL",2968,1,101
"Single Family Residence","GAS",2332,1,101
"Single Family Residence","GAS",3088,2,101
"Single Family Residence","OIL",1584,1,101
"Single Family Residence","OIL",2596,1,101
"Single Family Residence","GAS",2808,1,101
"Single Family Residence","GAS",2756,1,101
"Single Family Residence","GAS",2184,1,101
"Single Family Residence","GAS",2260,1,101
"Single Family Residence","GAS",3388,1,101
"Single Family Residence","GAS",2200,1,101
"Single Family Residence","GAS",3506,1,101
"Single Family Residence","GAS",2372,1,101
"Single Family Residence","GAS",1920,1,101
"Single Family Residence","GAS",2216,1,101
"Single Family Residence","GAS",2188,1,101
"Single Family Residence","GAS",2088,1,101
"Single Family Residence","GAS",1392,1,101
"Single Family Residence","GAS",960,1,101
"Single Family Residence","GAS",1624,1,101
"Single Family Residence","GAS",1104,1,101
"Single Family Residence","GAS",2014,2,101
"Single Family Residence","GAS",1890,1,101
"Single Family Residence","GAS",2474,2,101
"Single Family Residence","GAS",2664,2,101
"Single Family Residence","GAS",3148,2,101
"Single Family Residence","GAS",2918,1,101
"Single Family Residence","GAS",1487,1,101
"Single Family Residence","GAS",2014,2,101
"Single Family Residence","GAS",1680,1,101
"Single Family Residence","GAS",1344,1,101
"Single Family Residence","GAS",2520,1,101
"Single Family Residence","GAS",1608,1,101
"Single Family Residence","GAS",1487,1,101
"Single Family Residence","GAS",2052,1,101
"Single Family Residence","GAS",1892,1,101
"Single Family Residence","GAS",1562,1,101
"Single Family Residence","GAS",2014,2,101
"Single Family Residence","GAS",2280,1,101
"Single Family Residence","GAS",2082,1,101
"Single Family Residence","GAS",1296,1,101
"Single Family Residence","GAS",1852,1,101
"Single Family Residence","GAS",2884,1,101
"Single Family Residence","GAS",2512,1,101
"Single Family Residence","GAS",2988,1,101
"Single Family Residence","GAS",3004,2,101
"Single Family Residence","GAS",1612,1,101
"Single Family Residence","GAS",3236,2,101
"Single Family Residence","GAS",1895,1,101
"Single Family Residence","GAS",2531,1,101
"Single Family Residence","GAS",2752,1,101
"Single Family Residence","GAS",1804,1,101
"Single Family Residence","GAS",1858,2,101
"Single Family Residence","GAS",2106,1,101
"Single Family Residence","GAS",1392,1,101
"Single Family Residence","GAS",2316,1,101
"Single Family Residence","GAS",1596,1,101
"Single Family Residence","GAS",1672,1,101
"Single Family Residence","GAS",1892,1,101
"Single Family Residence","GAS",2952,1,101
"Single Family Residence","GAS",960,1,101
"Single Family Residence","GAS",2031,1,101
"Single Family Residence","ELECTRIC",3250,1,101
"Single Family Residence","OIL",2358,1.7,101
"Single Family Residence","GAS",2532,2,101
"Single Family Residence","GAS",2073,1,101
"Single Family Residence","GAS",1958,1,101
"Single Family Residence","GAS",1628,1,101
"Single Family Residence","GAS",3614,1,101
"Single Family Residence","GAS",2458,1,101
"Single Family Residence","GAS",2017,1,101
"Single Family Residence","GAS",2717,1,101
"Single Family Residence","GAS",1996,1,101
"Single Family Residence","GAS",2618,1,101
"Single Family Residence","GAS",2080,2,101
"Single Family Residence","GAS",2801,1,101
"Single Family Residence","GAS",1340,1,101
"Single Family Residence","GAS",2028,1,101
"Single Family Residence","GAS",2364,1,101
"Single Family Residence","GAS",3935,1.7,101
"Single Family Residence","GAS",1702,1,101
"Single Family Residence","OIL",1693,1.7,101
"Single Family Residence","OIL",1716,1.7,101
"Single Family Residence","GAS",1560,1.7,101
"Single Family Residence","OIL",2138,1,101
"Single Family Residence","OIL",936,1,101
"Single Family Residence","OIL",2314,1,101
"Single Family Residence","OIL",2520,2,101
"Single Family Residence","OIL",2096,2,101
"Single Family Residence","GAS",3232,2,101
"Single Family Residence","OIL",3688,2,101
"Single Family Residence","OIL",3563,1,101
"Single Family Residence","GAS",2222,2,101
"Single Family Residence","GAS",1944,2,101
"Single Family Residence","GAS",3460,1,101
"Single Family Residence","GAS",1192,1,101
"Single Family Residence","OIL",1456,1,101
"Single Family Residence","GAS",1866,1,101
"Single Family Residence","OIL",1440,2,101
"Single Family Residence","OIL",2264,2,101
"Single Family Residence","GAS",2880,2,101
"Housing, Other","GAS",2626,1,959
"Single Family Residence","GAS",1496,1,101
"Single Family Residence","GAS",1744,1,101
"Single Family Residence","GAS",2496,1,101
"Single Family Residence","GAS",2720,1,101
"Single Family Residence","GAS",1546,1,101
"Single Family Residence","GAS",1196,1,101
"Single Family Residence","GAS",1812,1,101
"Single Family Residence","ELECTRIC",1911,1,101
"Single Family Residence","GAS",1920,2,101
"Single Family Residence","GAS",960,1,101
"Single Family Residence","GAS",1572,1,101
"Single Family Residence","GAS",1496,1,101
"Single Family Residence","GAS",2247,1,101
"Single Family Residence","GAS",1104,1,101
"Single Family Residence","GAS",1502,1,101
"Single Family Residence","GAS",2025,1,101
"Single Family Residence","GAS",1664,1,101
"Single Family Residence","GAS",1912,1,101
"Single Family Residence","GAS",960,1,101
"Single Family Residence","GAS",2848,1,101
"Single Family Residence","GAS",2456,1,101
"Single Family Residence","GAS",2014,2,101
"Single Family Residence","GAS",2720,1,101
"Single Family Residence","GAS",2684,1,101
"Single Family Residence","GAS",1842,1,101
"Single Family Residence","GAS",1960,1,101
"Single Family Residence","GAS",1440,1,101
"Single Family Residence","GAS",1906,1,101
"Single Family Residence","GAS",1908,1,101
"Single Family Residence","GAS",3432,1,101
"Single Family Residence","OIL",2356,1,101
"Single Family Residence","GAS",2262,2,101
"Single Family Residence","GAS",2034,1,101
"Single Family Residence","GAS",3862,1,101
"Single Family Residence","GAS",2036,1,101
"Single Family Residence","GAS",2808,1,101
"Single Family Residence","GAS",2468,1,101
"Single Family Residence","GAS",2280,1.7,101
"Single Family Residence","GAS",2050,1,101
"Single Family Residence","GAS",1578,1,101
"Single Family Residence","GAS",2294,1,101
"Single Family Residence","GAS",1986,1,101
"Single Family Residence","GAS",3416,1,101
"Single Family Residence","GAS",3364,2,101
"Single Family Residence","GAS",1056,1,101
"Single Family Residence","GAS",2578,2,101
"Single Family Residence","OIL",1786,1,101
"Single Family Residence","OIL",2470,1,101
"Single Family Residence","OIL",2970,2,101
"Single Family Residence","OIL",2148,2,101
"Single Family Residence","OIL",3336,1,101
"Single Family Residence","OIL",2126,1,101
"Single Family Residence","OIL",2542,2,101
"Single Family Residence","GAS",2300,1,101
"Single Family Residence","GAS",2618,2,101
"Single Family Residence","GAS",3148,2,101
"Single Family Residence","GAS",2218,1,101
"Single Family Residence","GAS",3420,1,101
"Single Family Residence","GAS",4058,2,101
"Single Family Residence","OIL",3194,2,101
"Single Family Residence","GAS",2772,1,101
"Single Family Residence","GAS",1980,1,101
"Single Family Residence","GAS",1824,2,101
"Single Family Residence","GAS",2382,1,101
"Single Family Residence","GAS",4302,2,101
"Single Family Residence","GAS",2324,2,101
"Single Family Residence","GAS",3026,2,101
"Single Family Residence","GAS",3236,1,101
"Single Family Residence","GAS",2408,2,101
"Single Family Residence","GAS",2450,2,101
"Single Family Residence","GAS",3020,1,101
"Single Family Residence","GAS",2486,2,101
"Single Family Residence","GAS",3180,2,101
"Single Family Residence","ELECTRIC",1591,2,101
"Single Family Residence","OIL",2108,2,101
"Single Family Residence","OIL",1700,2,101
"Single Family Residence","OIL",2240,1,101
"Single Family Residence","OIL",1976,2,101
"Single Family Residence","OIL",2394,1,101
"Single Family Residence","GAS",1966,1,101
"Single Family Residence","OIL",3501,1,101
"Single Family Residence","OIL",1868,1,101
"Single Family Residence","OIL",1740,1,101
"Single Family Residence","OIL",2264,1,101
"Single Family Residence","OIL",2464,1,101
"Single Family Residence","OIL",1784,1,101
"Single Family Residence","OIL",1864,1,101
"Single Family Residence","OIL",2083,1,101
"Single Family Residence","OIL",2536,1,101
"Single Family Residence","OIL",1844,1,101
"Single Family Residence","OIL",1776,2,101
"Single Family Residence","OIL",2202,1,101
"Single Family Residence","OIL",1700,1,101
"Single Family Residence","OIL",2432,1,101
"Single Family Residence","GAS",2346,1,101
"Single Family Residence","GAS",2674,2,101
"Single Family Residence","GAS",2424,1,101
"Single Family Residence","GAS",2474,1,101
"Single Family Residence","GAS",3374,1,101
"Single Family Residence","GAS",1796,1,101
"Single Family Residence","GAS",2360,1,101
"Single Family Residence","GAS",1820,1,101
"Single Family Residence","GAS",3296,1,101
"Single Family Residence","GAS",2060,1,101
"Single Family Residence","GAS",1854,1,101
"Single Family Residence","GAS",2498,1,101
"Single Family Residence","GAS",2156,1,101
"Single Family Residence","GAS",3000,1,101
"Single Family Residence","OIL",3183,1,101
"Single Family Residence","GAS",1916,1,101
"Single Family Residence","GAS",1768,1,101
"Single Family Residence","GAS",1352,1,101
"Single Family Residence","GAS",2260,2,101
"Single Family Residence","GAS",1910,1,101
"Single Family Residence","ELECTRIC",2016,2,101
"Single Family Residence","GAS",1772,1,101
"Housing, Other","GAS",2160,1,959
"Single Family Residence","GAS",1724,1,101
"Single Family Residence","GAS",1840,1,101
"Single Family Residence","GAS",2620,1,101
"Single Family Residence","GAS",2256,1,101
"Single Family Residence","GAS",1912,1,101
"Single Family Residence","GAS",2014,1,101
"Single Family Residence","GAS",2264,1,101
"Single Family Residence","GAS",1332,1,101
"Single Family Residence","GAS",2148,1,101
"Single Family Residence","GAS",1104,1,101
"Single Family Residence","GAS",2082,1,101
"Single Family Residence","GAS",2578,1,101
"Single Family Residence","GAS",2758,1,101
"Single Family Residence","GAS",1843,1,101
"Single Family Residence","OIL",2164,1,101
"Single Family Residence","GAS",2184,1,101
"Single Family Residence","OIL",2218,1,101
"Single Family Residence","GAS",2604,1,101
"Single Family Residence","GAS",1756,1,101
"Single Family Residence","OIL",1886,1,101
"Single Family Residence","OIL",2248,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","GAS",2190,2,101
"Single Family Residence","GAS",2284,1,101
"Single Family Residence","GAS",1980,1,101
"Single Family Residence","OIL",1938,1.7,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","GAS",1440,1.7,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","GAS",2004,1.7,101
"Single Family Residence","GAS",1652,1,101
"Single Family Residence","GAS",1992,2,101
"Single Family Residence","GAS",1878,1,101
"Single Family Residence","GAS",1710,1,101
"Single Family Residence","GAS",3218,1,101
"Single Family Residence","GAS",1835,2,101
"Single Family Residence","OIL",2517,1,101
"Single Family Residence","GAS",1170,1,101
"Single Family Residence","GAS",1604,1,101
"Single Family Residence","GAS",1920,2,101
"Single Family Residence","GAS",1868,1,101
"Single Family Residence","GAS",1822,1,101
"Single Family Residence","GAS",1652,1.7,101
"Single Family Residence","GAS",1680,1.7,101
"Single Family Residence","GAS",1828,1,101
"Single Family Residence","GAS",1560,1,101
"Single Family Residence","GAS",2040,1,101
"Single Family Residence","GAS",1210,1,101
"Single Family Residence","GAS",2628,1,101
"Single Family Residence","GAS",1210,1,101
"Single Family Residence","GAS",2252,1,101
"Single Family Residence","OIL",2784,1,101
"Single Family Residence","OIL",1834,1,101
"Single Family Residence","OIL",1556,1,101
"Single Family Residence","OIL",1724,1,101
"Single Family Residence","OIL",1840,1,101
"Single Family Residence","OIL",1968,1,101
"Single Family Residence","OIL",1812,1,101
"Single Family Residence","OIL",3028,1,101
"Single Family Residence","OIL",1980,1,101
"Single Family Residence","OIL",2596,1,101
"Single Family Residence","OIL",1632,2,101
"Single Family Residence","OIL",1976,2,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",2024,1,101
"Single Family Residence","OIL",1744,1,101
"Single Family Residence","OIL",2720,1,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",1786,1,101
"Single Family Residence","OIL",1826,1,101
"Single Family Residence","OIL",1564,1,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",2364,1,101
"Single Family Residence","OIL",1724,1,101
"Single Family Residence","OIL",1724,1,101
"Single Family Residence","OIL",2870,1,101
"Single Family Residence","OIL",2048,2,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",2284,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1804,1,101
"Single Family Residence","OIL",1620,1,101
"Single Family Residence","OIL",2356,1,101
"Single Family Residence","OIL",1652,1,101
"Single Family Residence","OIL",2268,1,101
"Single Family Residence","OIL",3226,1,101
"Single Family Residence","OIL",3452,1,101
"Single Family Residence","OIL",2200,1,101
"Single Family Residence","OIL",2144,1,101
"Single Family Residence","OIL",2304,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",2084,1,101
"Single Family Residence","OIL",1760,1,101
"Single Family Residence","OIL",1672,1,101
"Single Family Residence","OIL",2716,1,101
"Single Family Residence","OIL",1804,1,101
"Single Family Residence","OIL",1696,1,101
"Single Family Residence","OIL",1868,1,101
"Single Family Residence","OIL",1672,1,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1840,1,101
"Single Family Residence","OIL",1444,1,101
"Single Family Residence","OIL",1304,1,101
"Single Family Residence","OIL",2044,1,101
"Single Family Residence","ELECTRIC",1720,1,101
"Single Family Residence","OIL",1292,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1624,1,101
"Single Family Residence","OIL",1944,1,101
"Single Family Residence","OIL",1544,1,101
"Single Family Residence","OIL",2852,1,101
"Single Family Residence","OIL",2744,1,101
"Single Family Residence","OIL",1568,1,101
"Single Family Residence","OIL",2492,1,101
"Single Family Residence","PROPANE-TANK",2005,1,101
"Single Family Residence","OIL",1944,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1548,1,101
"Single Family Residence","OIL",1404,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1888,1,101
"Single Family Residence","OIL",2216,1,101
"Single Family Residence","OIL",2292,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1528,1,101
"Single Family Residence","OIL",1594,1,101
"Single Family Residence","OIL",1604,1,101
"Single Family Residence","OIL",2200,1,101
"Single Family Residence","OIL",2692,1,101
"Single Family Residence","OIL",2728,1,101
"Single Family Residence","OIL",1576,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1764,1,101
"Single Family Residence","OIL",2044,1,101
"Single Family Residence","OIL",2044,1,101
"Single Family Residence","OIL",2104,2,101
"Single Family Residence","GAS",1336,1,101
"Single Family Residence","GAS",2268,1,101
"Single Family Residence","OIL",1960,1,101
"Single Family Residence","OIL",3210,2,101
"Single Family Residence","OIL",2488,1,101
"Single Family Residence","OIL",2566,1,101
"Single Family Residence","OIL",1672,1,101
"Single Family Residence","OIL",2152,1,101
"Single Family Residence","OIL",2412,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1944,1,101
"Single Family Residence","OIL",1900,1,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",2438,1,101
"Single Family Residence","OIL",2326,1,101
"Single Family Residence","OIL",2360,1,101
"Single Family Residence","OIL",3962,1,101
"Single Family Residence","OIL",3135,1,101
"Single Family Residence","OIL",1944,1,101
"Single Family Residence","OIL",2790,2,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",2406,1,101
"Single Family Residence","OIL",1944,1,101
"Single Family Residence","OIL",2248,1,101
"Single Family Residence","OIL",1940,1,101
"Single Family Residence","OIL",1864,1,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",1944,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1916,1,101
"Single Family Residence","OIL",1484,1,101
"Single Family Residence","OIL",1768,1,101
"Single Family Residence","OIL",2280,1,101
"Single Family Residence","OIL",3103,1,101
"Single Family Residence","ELECTRIC",1490,1,101
"Single Family Residence","GAS",1908,1,101
"Single Family Residence","GAS",3728,2,101
"Single Family Residence","GAS",2568,2,101
"Single Family Residence","GAS",2912,2,101
"Single Family Residence","GAS",2469,2,101
"Single Family Residence","GAS",2720,2,101
"Single Family Residence","GAS",3244,1,101
"Single Family Residence","GAS",3532,2,101
"Single Family Residence","GAS",1704,1,101
"Single Family Residence","GAS",912,1,101
"Single Family Residence","GAS",3503,1,101
"Single Family Residence","GAS",2156,1,101
"Single Family Residence","GAS",1680,1,101
"Single Family Residence","GAS",1490,1,101
"Single Family Residence","GAS",2060,1,101
"Single Family Residence","GAS",1582,1,101
"Single Family Residence","GAS",1658,1,101
"Single Family Residence","GAS",1920,2,101
"Single Family Residence","GAS",5372,2,101
"Single Family Residence","GAS",1908,1,101
"Single Family Residence","GAS",1562,1,101
"Single Family Residence","GAS",1430,2,101
"Single Family Residence","GAS",2144,1,101
"Single Family Residence","GAS",1210,1,101
"Single Family Residence","GAS",1456,1.7,101
"Single Family Residence","GAS",1244,1,101
"Single Family Residence","GAS",1302,1,101
"Single Family Residence","GAS",1924,1,101
"Single Family Residence","GAS",1656,1,101
"Single Family Residence","GAS",1560,1,101
"Single Family Residence","GAS",2144,2,101
"Single Family Residence","OIL",1827,2,101
"Single Family Residence","OIL",1504,1,101
"Single Family Residence","OIL",3100,2,101
"Single Family Residence","OIL",2168,2,101
"Single Family Residence","OIL",1696,1,101
"Single Family Residence","OIL",1506,1,101
"Single Family Residence","OIL",1804,1,101
"Single Family Residence","OIL",1232,1,101
"Single Family Residence","OIL",2442,1,101
"Single Family Residence","OIL",1161,1,101
"Single Family Residence","OIL",1464,1,101
"Single Family Residence","OIL",2942,2,101
"Single Family Residence","PROPANE-TANK",1360,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1415,1,101
"Single Family Residence","OIL",2542,1,101
"Single Family Residence","OIL",1576,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1008,1,101
"Single Family Residence","OIL",1520,1,101
"Single Family Residence","OIL",2956,2,101
"Other Congregate Housing","OIL",1968,1,125
"Single Family Residence","OIL",1168,1,101
"Single Family Residence","OIL",1680,1,101
"Single Family Residence","OIL",1656,1,101
"Single Family Residence","GAS",1360,1,101
"Single Family Residence","OIL",1527,1,101
"Single Family Residence","ELECTRIC",1328,1,101
"Single Family Residence","OIL",3094,2,101
"Single Family Residence","OIL",1730,1,101
"Single Family Residence","OIL",2055,1,101
"Single Family Residence","OIL",2685,1,101
"Single Family Residence","OIL",2632,2,101
"Single Family Residence","OIL",1384,1,101
"Single Family Residence","OIL",1728,1,101
"Single Family Residence","OIL",1806,1,101
"Single Family Residence","OIL",1508,1,101
"Single Family Residence","OIL",1824,1,101
"Single Family Residence","OIL",1272,1,101
"Single Family Residence","OIL",1424,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","ELECTRIC",2155,1,101
"Single Family Residence","OIL",3818,2,101
"Single Family Residence","OIL",1392,1,101
"Single Family Residence","OIL",2336,1,101
"Single Family Residence","OIL",2536,1,101
"Single Family Residence","ELECTRIC",1008,1,101
"Single Family Residence","OIL",1440,1,101
"Single Family Residence","OIL",2520,1,101
"Single Family Residence","GAS",1492,1,101
"Single Family Residence","GAS",1360,1,101
"Single Family Residence","OIL",1456,1,101
"Single Family Residence","GAS",2336,1.7,101
"Single Family Residence","OIL",1540,2,101
"Single Family Residence","GAS",1866,1,101
"Single Family Residence","GAS",1468,1,101
"Single Family Residence","GAS",2586,2,101
"Single Family Residence","GAS",1028,1,101
"Single Family Residence","GAS",2640,1,101
"Single Family Residence","GAS",1732,1,101
"Single Family Residence","GAS",1780,1,101
"Single Family Residence","GAS",1368,1,101
"Single Family Residence","GAS",1608,1,101
"Single Family Residence","GAS",912,1,101
"Single Family Residence","OIL",1520,1,101
"Single Family Residence","OIL",2032,1,101
"Single Family Residence","OIL",1696,1,101
"Single Family Residence","ELECTRIC",1760,1,101
"Single Family Residence","OIL",1544,1,101
"Single Family Residence","ELECTRIC",1368,1,101
"Single Family Residence","OIL",1888,1,101
"Single Family Residence","OIL",1428,1.7,101
"Single Family Residence","OIL",1984,1.7,101
"Single Family Residence","OIL",2288,1.7,101
"Single Family Residence","GAS",1912,1,101
"Single Family Residence","OIL",2004,1,101
"Single Family Residence","OIL",1799,1,101
"Single Family Residence","OIL",1576,1,101
"Single Family Residence","OIL",2944,2,101
"Single Family Residence","OIL",2700,1,101
"Single Family Residence","OIL",1175,1,101
"Single Family Residence","OIL",2872,1,101
"Single Family Residence","OIL",2968,2,101
"Single Family Residence","OIL",1808,1,101
"Single Family Residence","OIL",1711,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",2677,1.7,101
"Housing, Other","OIL",2013,1,959
"Single Family Residence","OIL",1008,1,101
"Single Family Residence","OIL",1520,1,101
"Single Family Residence","OIL",1008,1,101
"Single Family Residence","OIL",1440,1,101
"Single Family Residence","OIL",1008,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1335,1,101
"Single Family Residence","OIL",996,1,101
"Single Family Residence","OIL",1978,1,101
"Single Family Residence","OIL",1703,1,101
"Single Family Residence","OIL",1720,1,101
"Single Family Residence","OIL",1008,1,101
"Single Family Residence","OIL",960,1,101
"Single Family Residence","OIL",1926,1,101
"Single Family Residence","OIL",1312,1,101
"Single Family Residence","OIL",1520,1,101
"Single Family Residence","OIL",2064,1,101
"Single Family Residence","OIL",2078,1,101
"Single Family Residence","GAS",1703,1,101
"Single Family Residence","OIL",2080,1,101
"Single Family Residence","OIL",1520,1,101
"Single Family Residence","OIL",1744,1,101
"Single Family Residence","OIL",1264,1,101
"Single Family Residence","OIL",1415,1,101
"Single Family Residence","OIL",2145,1,101
"Single Family Residence","OIL",1979,1,101
"Single Family Residence","ELECTRIC",1008,1,101
"Single Family Residence","OIL",2044,1,101
"Single Family Residence","OIL",1200,1,101
"Single Family Residence","OIL",1681,1,101
"Single Family Residence","OIL",1008,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1703,1,101
"Single Family Residence","OIL",1360,1,101
"Single Family Residence","OIL",1712,1,101
"Single Family Residence","OIL",2592,2,101
"Single Family Residence","GAS",1804,1,101
"Single Family Residence","OIL",1392,1,101
"Single Family Residence","OIL",1168,1,101
"Single Family Residence","OIL",1528,1,101
"Single Family Residence","OIL",2323,2,101
"Single Family Residence","OIL",2128,1,101
"Single Family Residence","OIL",1703,1,101
"Single Family Residence","OIL",3147,1,101
"Single Family Residence","OIL",3120,2,101
"Single Family Residence","OIL",2905,2,101
"Single Family Residence","OIL",2885,1,101
"Single Family Residence","PROPANE-TANK",1415,1,101
"Single Family Residence","OIL",1264,1,101
"Single Family Residence","OIL",1678,1,101
"Single Family Residence","OIL",1464,1,101
"Single Family Residence","OIL",1632,1,101
"Single Family Residence","OIL",2263,1,101
"Single Family Residence","OIL",1600,1,101
"Single Family Residence","ELECTRIC",1482,1,101
"Single Family Residence","OIL",1881,1.7,101
"Single Family Residence","OIL",1012,1,101
"Single Family Residence","OIL",1611,1,101
"Single Family Residence","OIL",2732,2,101
"Single Family Residence","OIL",2030,1.7,101
"Single Family Residence","GAS",2118,1,101
"Single Family Residence","GAS",1803,1,101
"Single Family Residence","GAS",1857,1,101
"Single Family Residence","GAS",2813,1,101
"Single Family Residence","GAS",2794,1,101
"Single Family Residence","GAS",2318,1,101
"Single Family Residence","GAS",2549,1,101
"Single Family Residence","OIL",2615,1,101
"Single Family Residence","GAS",1441,1,101
"Single Family Residence","GAS",2144,1,101
"Single Family Residence","GAS",1991,1,101
"Single Family Residence","OIL",1638,1.7,101
"Single Family Residence","OIL",960,1,101
"Single Family Residence","COAL",4749,2,101
"Single Family Residence","GAS",1866,1,101
"Single Family Residence","OIL",3040,1,101
