"","USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"202","101","GAS",3004,"1"
"203","101","GAS",1626.88,"1T"
"204","101","GAS",3236,"1T"
"205","101","GAS",2538.4,"1H"
"206","101","GAS",1564,"2"
"207","101","OIL",1409.5,"1T"
"208","101","OIL",1914,"2"
"209","101","OIL",1696,"2A"
"210","101","GAS",1902,"2A"
"211","132",NA,0,NA
"212","101","OIL",2742,"2"
"213","101","GAS",1802,"2"
"214","101","GAS",2874,"2"
"215","101","GAS",1681.6,"2"
"216","101","GAS",1750,"1"
"217","101","GAS",3200,"2A"
"218","101","OIL",2089.5,"2A"
"219","101","GAS",1860,"2"
"220","101","GAS",1719,"2A"
"221","101","GAS",4237.2,"2A"
"222","101","OIL",1895,"2"
"223","101","OIL",2304,"2"
"224","101","OIL",1825.2,"2"
"225","101","GAS",2820.5,"2"
"226","101","OIL",3136,"2"
"227","101","GAS",1260,"1"
"228","101","GAS",2303.2,"1T"
"229","101","GAS",2563.2,"1H"
"230","101","OIL",2277.45,"2"
"231","101","OIL",2231.2,"2A"
"232","104","OIL",3375,"2"
"233","101","OIL",2026,"2"
"234","101","GAS",1743.6,"2"
"235","101","GAS",1904,"2A"
"236","101","GAS",2003.2,"1H"
"237","101","GAS",2608,"1"
"238","101","GAS",5505,"2A"
"239","101","OIL",2373.15,"2"
"240","101","OIL",1560,"2A"
"241","101","OIL",2226,"2A"
"242","101","OIL",1725.5,"1T"
"243","101","GAS",1832,"1H"
"244","104","OIL",3240,"2A"
"245","101","GAS",1715.2,"1H"
"246","101","GAS",2121.6,"1H"
"247","101","OIL",2380,"2"
"248","101","OIL",3037.55,"1A"
"249","101","GAS",1731.6,"1"
"250","101","OIL",2708,"2A"
"251","101","GAS",2832,"2"
"252","101","GAS",3381.8,"2A"
"253","101","GAS",3894,"2A"
"254","101","OIL",2202,"2A"
"255","101","GAS",2782,"2A"
"256","101","GAS",3955.6,"2A"
"257","101","GAS",3064,"2A"
"258","101","OIL",3475.2,"2H"
"259","104","OIL",2794,"2A"
"260","132",NA,0,NA
"261","101","GAS",2220,"1"
"262","101","GAS",6831,"2A"
"263","101","GAS",4675,"2A"
"264","130",NA,0,NA
"265","101","OIL",3365.7,"2A"
"266","101","GAS",1906,"1"
"267","101","GAS",1937,"1"
"268","101","OIL",3246,"2A"
"269","101","OIL",2608,"2A"
"270","101","GAS",2436.75,"2A"
"271","101","OIL",1680,"1"
"272","101","GAS",2898.2,"2A"
"273","101","OIL",2784,"2A"
"274","101","OIL",2474,"2A"
"275","101","GAS",4528.8,"2A"
"276","101","GAS",5098,"2"
"277","101","GAS",2892.8,"2A"
"278","101","GAS",3078,"2A"
"279","101","OIL",3034,"2A"
"280","101","GAS",2976.5,"2A"
"281","101","OIL",2838,"2"
"282","101","GAS",2150.4,"2A"
"283","101","GAS",4487.5,"2A"
"284","101","OIL",1464,"2A"
"285","101","GAS",3122,"2A"
"286","101","GAS",4015.4,"1H"
"287","101","OIL",2608,"2A"
"288","101","OIL",2768.8,"2A"
"289","101","OIL",4249,"2A"
"290","101","GAS",3695.76,"2A"
"291","101","OIL",2388,"2A"
"292","101","GAS",2882.35,"2A"
"293","101","OIL",2084,"2A"
"294","101","GAS",4270,"2A"
"295","101","OIL",2115,"1"
"296","101","GAS",2768.75,"1T"
"297","101","OIL",2699.2,"2A"
"298","132",NA,0,NA
"299","101","GAS",3620,"2"
"300","105","OIL",4354,"2A"
"301","101","GAS",4120,"2A"
"302","101","OIL",3384,"2A"
"303","101","OIL",3234,"2A"
"304","101","OIL",1780,"2A"
"305","101","GAS",3979.8,"2A"
"306","101","GAS",3372,"2A"
"307","101","GAS",3363.75,"2A"
"308","101","OIL",2060,"2A"
"309","101","GAS",3680,"2A"
"310","132",NA,0,NA
"311","132",NA,0,NA
"312","101","GAS",3083.4,"2A"
"313","101","OIL",3024,"2"
"314","101","GAS",2244,"2A"
"315","101","GAS",1677,"1T"
"316","101","OIL",2777.5,"2A"
"317","101","OIL",2048,"2A"
"318","101","GAS",2170.5,"1A"
"319","101","GAS",1696,"2A"
"320","101","GAS",1996,"1"
"321","931",NA,0,NA
"322","101","GAS",1048,"1"
"323","132",NA,0,NA
"324","101","GAS",2016,"2A"
"325","101","OIL",2124.5,"2"
"326","101","OIL",4273.6,"2A"
"327","104","GAS",2976,"2A"
"328","101","OIL",3312,"2A"
"329","101","OIL",2851,"2A"
"330","101","GAS",2280,"2"
"331","960","OIL",2366,"1"
"332","101","GAS",2188,"1"
"333","101","GAS",1981.5,"1"
"334","962","OIL",34508.5,"2T"
"335","960","OIL",3777.3,"1T"
"336","101","OIL",3294.4,"1T"
"337","101","GAS",2376,"1"
"338","101","OIL",4902,"2A"
"339","101","OIL",4240.8,"2A"
"340","101","OIL",2101.6,"1H"
"341","105","GAS",4240.2,"2A"
"342","101","GAS",5265.75,"2A"
"343","101","OIL",3979,"2A"
"344","101","OIL",1956,"2"
"345","101","OIL",1980,"2A"
"346","101","GAS",2216,"2A"
"347","101","GAS",1984,"2A"
"348","130",NA,0,NA
"349","101","OIL",3250,"1T"
"350","101","OIL",4130,"2A"
"351","101","GAS",2827,"2"
"352","121","OIL",15327.9,"3"
"353","105","OIL",5692,"2A"
"354","101","GAS",3586.2,"2A"
"355","101","OIL",2468,"2A"
"356","101","GAS",2562,"2A"
"357","101","GAS",3210.5,"2"
"358","101","GAS",3335,"2A"
"359","101",NA,0,NA
"360","101","GAS",2601.2,"2A"
"361","101","OIL",1188,"1"
"362","101","GAS",3579.5,"2A"
"363","101","GAS",2030,"1T"
"364","101","GAS",2909.44,"2A"
"365","101","OIL",2580,"2A"
"366","101","OIL",3181.4,"2A"
"367","105","OIL",3292.1,"2A"
"368","101","OIL",2642.4,"2A"
"369","101","GAS",2992.5,"2A"
"370","101","GAS",2507.3,"2A"
"371","101","GAS",2568,"2A"
"372","104","OIL",2905.4,"2A"
"373","959","OIL",2372,"1"
"374","132",NA,0,NA
"375","101","OIL",3804,"2"
"376","101","GAS",1438,"1"
"377","101","GAS",1992,"1"
"378","101","GAS",2490,"2"
"379","104","GAS",2280,"2"
"380","101","OIL",1908,"2A"
"381","104","OIL",2067,"2A"
"382","105","OIL",3307.6,"2A"
"383","106",NA,0,NA
"384","101","OIL",1643,"1H"
"385","101","GAS",1793.5,"2"
"386","101","OIL",1120,"1H"
"387","130",NA,0,NA
"388","101","GAS",1836,"2A"
"389","101","OIL",2490.9,"2A"
"390","101","OIL",2514,"2A"
"391","101","GAS",2296,"2A"
"392","101","OIL",2398,"2A"
"393","101","GAS",2380,"2A"
"394","013","GAS",2192.1,"2A"
"395","101","OIL",1972,"2A"
"396","101","OIL",2004,"2A"
"397","101","GAS",2820,"1"
"398","105","GAS",2957.8,"2A"
"399","104","OIL",3076,"2A"
"400","132",NA,0,NA
"401","104","GAS",1974,"2A"
"402","104","GAS",2394.3,"2A"
"403","104","GAS",2373,"2A"
"404","104","GAS",1852,"2A"
"405","101","GAS",2028,"2A"
"406","101","GAS",2080,"2A"
"407","101","OIL",2152,"2A"
"408","101","GAS",1521,"1"
"409","101","GAS",1620,"2A"
"410","101","OIL",2084,"2A"
"411","101","GAS",1738,"2A"
"412","101","GAS",1640,"2A"
"413","101","OIL",2074,"2A"
"414","104","GAS",2835.5,"2A"
"415","105","GAS",3481.94,"2A"
"416","105","GAS",3004.8,"2A"
"417","105","GAS",4588.5,"2A"
"418","101","GAS",2072,"2A"
"419","104","OIL",4359,"2"
"420","105","GAS",3413.8,"2A"
"421","104","GAS",2560,"2A"
"422","104","OIL",3244.5,"2A"
"423","101","OIL",1810,"2A"
"424","105","OIL",3324.1,"2A"
"425","101","OIL",1825,"2A"
"426","104","GAS",4189.6,"2A"
"427","105","OIL",4042.05,"2A"
"428","101","OIL",2206,"2A"
"429","101","GAS",1776,"2A"
"430","101","OIL",4451.9,"2A"
"431","104","WOOD/COM",2428,"2A"
"432","104","OIL",2800,"2A"
"433","104","OIL",3226,"2A"
"434","101","GAS",2980.8,"2A"
"435","101","GAS",1923,"1"
"436","104","OIL",2780,"2A"
"437","101","GAS",2174,"2A"
"438","104","GAS",4914,"2A"
"439","101","GAS",4151,"2A"
"440","101","OIL",1888,"2A"
"441","101","OIL",3192,"2A"
"442","101","OIL",2646,"2A"
"443","101","OIL",2643.9,"2A"
"444","930",NA,0,NA
"445","930",NA,0,NA
"446","101","GAS",4517,"2A"
"447","105","OIL",3152.7,"2A"
"448","132",NA,0,NA
"449","132",NA,0,NA
