"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","Oil",876,1
"101","Oil",879,1
"101","Oil",880,1
"101","Oil",884,1
"101","Oil",884,1
"101","Gas",884,1
"101","Oil",886,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",888,1
"101","Oil",892,1
"101","Oil",896,1
"101","Oil",897,1
"101","Oil",898,1
"101","Oil",899,1
"101","Oil",900,1
"101","Oil",900,1
"101","Oil",900,1
"101","Oil",900,1
"101","Oil",901,1
"101","Oil",904,1
"101","Oil",904,1
"101","Oil",905,1
"101","Oil",905,1
"101","Oil",906,1
"101","Oil",908,1
"101","Oil",911,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",912,1
"101","Oil",914,1
"101","Oil",916,1
"101","Oil",919,1
"101","Oil",921,1
"101","Oil",922,1
"101","Oil",923,1
"101","Oil",923,1
"101","Oil",925,1
"101","Oil",925,1
"101","Oil",925,1
"101","Oil",926,1
"101","Oil",928,1
"101","Oil",934,1
"101","Oil",934,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",936,1
"101","Oil",938,1
"101","Oil",938,1
"101","Oil",940,1
"101","Oil",946,1
"101","Oil",949,1
"101","Electric",950,1
"101","Oil",951,1
"101","Oil",952,1
"101","Oil",952,1
"101","Oil",954,1
"101","Oil",958,1
"101","Oil",959,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Oil",960,1
"101","Electric",960,1
"101","Oil",962,1
"101","Oil",962,1
"101","Oil",962,1
