Town	Use code	Description	Stories	Stories_Desc	Style	Style Description	Living Area	Heat fuel	Fuel Description	Heat type	Type description
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1664	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1760	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1760	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1760	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1768	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1768	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1768	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1768	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1773	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1872	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1903	3	Gas	5	Hot Water
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1924	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	1951	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2000	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2044	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2064	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2088	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2104	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2128	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2150	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2160	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2192	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2192	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2208	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2208	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2208	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2208	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2216	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2216	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2248	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2252	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2252	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2304	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2324	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2376	3	Gas	8	Radiant-Water
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2404	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2412	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2442	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2448	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2448	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2448	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2448	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2468	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2475	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2482	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2488	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2488	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2488	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2488	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2488	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2492	3	Gas	4	Forced Air-Duc
