019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	33442	APARTMENTS-HRISE                        	                                        	33442	2	7	04                                      	                                        	42	          	          	          	HOT AIR                                 	                                        	                                        	          	2003	                                        	309	                                        	R4      	 	02                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	   	   	   
019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	34182	APARTMENTS-HRISE                        	                                        	34182	3	7	04                                      	                                        	56	          	          	          	HOT AIR                                 	                                        	                                        	          	2003	                                        	309	                                        	R4      	 	02                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	   	   	   
019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	59084	APARTMENTS-HRISE                        	                                        	59084	4	7	04                                      	                                        	48	          	          	          	HOT AIR                                 	                                        	                                        	          	2003	                                        	309	                                        	R4      	 	02                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	   	   	   
019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	44595	APARTMENTS-HRISE                        	                                        	44595	5	7	04                                      	                                        	60	          	          	          	HOT AIR                                 	                                        	                                        	          	2003	                                        	309	                                        	R4      	 	02                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	   	   	   
019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	57910	APARTMENTS-HRISE                        	                                        	57910	6	7	04                                      	                                        	36	          	          	          	HOT AIR                                 	                                        	                                        	          	2004	                                        	309	                                        	R4      	 	02                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	   	   	   
019-001                       	8	ANDOVER(RT114)/SYLVAN- FRINGE           	150	ANDOVER ST                             	DANVERS   	UDR CRANE BROOK LLC                     	C/O B&D EQUITY PROP TAX GROUP           	1745 SHEA CENTER DR - SUITE 200                                                                                                       	HIGHLANDS RANCH                         	CO	80129	Apartments - More than Eight Units      	30337/448        	7-Apr-11	LAND + BLDG                             	64500000	9430000	74034500	83464500	     	17	29728	APARTMENTS-HRISE                        	                                        	29728	7	7	04                                      	                                        	48	          	          	          	HOT AIR                                 	                                        	                                        	          	2004	                                        	309	                                        	R4      	 	02                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	   	   	   
019-006                       	11	NEWBURY ST(RT1)-AVG                     	277	NEWBURY ST                             	          	JRM HAULING & RECYCLING SERVICES LLC    	                                        	18500 N ALLIED WAY                                                                                                                    	PHOENIZ                                 	AZ	85054	"Storage, Warehouses And Distribution    "	40938/18         	17-May-22	LAND + BLDG                             	4000000	1915200	2024500	3939700	     	3.17	12780	WAREHOUSE                               	                                        	12780	1	1	01                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	1964	                                        	          	                                        	BR1     	 	03                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
019-007                       	12	NEWBURY ST(RT1)-AVG                     	271	NEWBURY ST                             	          	RYDER TRUCK RENTAL INC                  	% PROPERTY TAX DEPARTMENT               	6000 WINDWARD PKWY                                                                                                                    	ALPHARETTA                              	GA	30005	Truck Terminals                         	013004/00498     	1-May-95	LAND + BLDG                             	1350000	2026100	1333100	3359200	     	3.368	15189	TRUCK TERMINAL                          	                                        	15189	1	1	02                                      	                                        	          	          	          	          	HEAT PUMP                               	                                        	                                        	          	1964	                                        	          	                                        	BR1     	 	03                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
019-008                       	13	NEWBURY ST(RT1)-AVG                     	265	NEWBURY ST                             	          	THE MISTER PEABODY LLC                  	                                        	265 NEWBURY ST                                                                                                                        	PEABODY                                 	MA	01960     	General Office                          	20627/117        	18-Apr-03	LAND + BLDG                             	1200000	574900	737900	1312800	     	0.725	15048	OFFICE BLDG L/R 1-4S                    	                                        	15048	1	1	02                                      	                                        	          	          	          	2	HOT AIR                                 	                                        	                                        	4128	1973	                                        	          	                                        	BR1     	 	06                                      	1	                                        	   	   	YES	   	   	   	   	   	   	   	YES	   	YES
019-011                       	14	NEWBURY ST(RT1)-AVG                     	288	NEWBURY ST                             	          	ADELPHI PROPERTIES LLC                  	                                        	288 NEWBURY ST                                                                                                                        	PEABODY                                 	MA	01960     	Small Retail And Service Stores Under 10	39818/279        	29-Apr-21	LAND + BLDG                             	750000	331000	240000	571000	     	0.1894	1350	RETAIL SINGLE OCCUP                     	                                        	1350	1	1	01                                      	                                        	          	          	          	          	ELECTRIC                                	                                        	                                        	          	1950	                                        	          	                                        	BR1     	 	02                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
