USECODE,STORYHEIGHT,FUELTYPE,AREASQ
101,2,GAS,1673.7
101,2,OIL,2013.35
101,2A,GAS,3020.52
104,2A,OIL,3289.9
105,2A,OIL,3366
101,2A,GAS,2682.1
101,1,OIL,1789
101,1T,OIL,3166.8
105,2,OIL,2739.6
101,2,OIL,1929
101,1T,OIL,4121.35
101,1,ELECTRIC,1515
101,2A,OIL,8214.21
101,1,OIL,3649.5
101,1,ELECTRIC,4543.6
101,1T,OIL,3429.6
101,1T,OIL,2150
101,1T,GAS,1531.25
101,2,OIL,3816
101,2,OIL,3189
101,2,OIL,3805.3
101,2A,OIL,4795.8
101,2,OIL,3980
101,2,OIL,2652
101,1,OIL,3564
101,2,OIL,3804
101,2,OIL,3947.6
101,2,OIL,3473
101,1T,OIL,1638
101,1,OIL,1586
101,1T,OIL,1846.5
101,1T,OIL,2185.7
101,1,OIL,1633.5
101,1T,OIL,1902
101,1T,OIL,1648
101,1T,OIL,2538.5
101,1T,OIL,4760.4
101,1,OIL,1478
101,1,OIL,1411
101,2A,OIL,4173.36
101,1,OIL,1496
101,1,OIL,1164
101,2,OIL,2136
101,1,OIL,1296
101,1,OIL,1376
101,1,GAS,1612
101,1,OIL,1680
101,1,OIL,1162
101,1,OIL,1780
101,2,OIL,2635
101,1,GAS,1956
101,2,OIL,2570
101,2A,OIL,3945.5
101,1,OIL,1128
101,2,OIL,2036
101,2,GAS,2222
101,2,OIL,2536
101,2,OIL,2691
101,1,OIL,1488
101,1,OIL,1382
101,1,OIL,2224
101,1,GAS,1916
101,2,OIL,2788
101,2,GAS,2056
101,1T,OIL,2016
101,1,OIL,1416
101,1,OIL,864
101,1,OIL,1561
101,2,OIL,2774
101,1,OIL,1404
101,2,OIL,1894
101,1,ELECTRIC,1496
101,2,OIL,1750
101,1,OIL,1660
101,1,OIL,1546
101,1,OIL,1120
101,2,OIL,2036
101,2,OIL,2146
101,2,OIL,3648
101,1,OIL,1648
101,2,OIL,2288
101,1,OIL,1910
101,1,OIL,1236
101,2,OIL,3060
101,1,OIL,1280
101,1,OIL,864
101,1,OIL,2305
101,1,OIL,864
101,1,OIL,1404
101,2,OIL,3012
101,1,OIL,1056
101,1,OIL,1088
101,1,OIL,1120
101,1,OIL,1356
101,1,OIL,1248
101,2,OIL,2184
101,2,GAS,3289
101,1,OIL,2128
101,1,OIL,864
101,1,OIL,1840
101,1,OIL,3429
101,1,OIL,1674
101,1T,GAS,2800
101,1,OIL,1296
101,1,OIL,2455
101,1,OIL,1056
101,1,OIL,2214
101,1,OIL,2553
101,1,GAS,1416
101,2,OIL,2192
101,1,OIL,1704
101,2,GAS,2432
101,1,OIL,1088
101,1,GAS,1404
101,1,GAS,1312
101,1,OIL,1368
101,1,OIL,864
101,1,OIL,864
101,1,OIL,2136
101,1,OIL,1560
101,2,OIL,1750
101,2,OIL,3180
101,1,OIL,2241
101,1T,OIL,987
101,1T,OIL,1666
101,1T,OIL,2368
101,1T,OIL,2653
132,,,0
101,1,OIL,1638
101,1,OIL,4616
101,1T,OIL,3026.5
101,1T,GAS,2068.1
101,1,OIL,2275.6
101,1,OIL,998
101,2A,OIL,5193.3
101,1,GAS,1402
101,2,OIL,1410
101,1,OIL,1465
101,1,GAS,2303.5
101,1T,GAS,1218
101,1T,GAS,3349
101,2A,OIL,4518.7
101,2,GAS,4972.86
101,2,OIL,4757
101,1T,OIL,3846.25
101,2,GAS,4515
101,2,OIL,3934.8
101,1T,OIL,1632
931,1,ELECTRIC,9758.4
104,2,OIL,3411
101,1T,GAS,1686
101,1T,GAS,1001
101,1T,OIL,1324.5
104,2A,OIL,1903.4
104,2A,GAS,2340
930,,,0
101,1A,OIL,1594.65
104,2A,GAS,2046
101,2,OIL,1883.4
101,1T,GAS,1672
101,2A,OIL,1825.2
101,2H,GAS,1344
930,2,ELECTRIC,7614
101,2,OIL,1598
101,1H,OIL,1983
101,2,GAS,1856
104,1T,OIL,2195.5
101,2,OIL,1200.8
101,1T,GAS,2078.5
104,2,ELECTRIC,1440
101,1A,GAS,1039.68
101,1T,OIL,1490
101,1T,OIL,1184.5
101,2,OIL,2258
101,2,OIL,1452
111,2A,OIL,3153
111,2A,GAS,4222.21
101,2,OIL,1482
104,2A,OIL,2364
101,2,OIL,2566.3
101,2A,OIL,2583.5
101,2,ELECTRIC,4760.6
101,2,GAS,4008.4
101,1,OIL,3494.4
101,2,OIL,4507.9
101,2,GAS,3526.4
101,2,OIL,6067
101,2,OIL,3749.2
931,1,NONE,4612
953,,,0
960,,,0
132,,,0
930,,,0
960,,,0
953,,,0
953,,,0
953,,,0
953,,,0
953,,,0
953,,,0
953,,,0
13,2A,OIL,2016
930,,,0
930,,,0
930,,,0
101,1H,OIL,3714.55
101,2,OIL,4003.2
101,2,OIL,3045
101,2T,OIL,2096.4
953,,,0
101,1H,OIL,1350
101,1T,OIL,2688
960,2,GAS,8720
423,,,0
423,,,0
982,,,0
932,,,0
423,,,0
101,2,OIL,3144.8
101,2,OIL,3138
101,2,GAS,2592
101,2,GAS,3924
101,2T,OIL,3653
101,2T,GAS,3527
101,1,OIL,1800
101,1,OIL,2256
101,1,OIL,1504
101,1,OIL,2082
101,1,OIL,2210
101,1,GAS,1415
101,1,OIL,1703
101,1,OIL,1404
101,1,OIL,1812
101,1,OIL,1532
101,1,OIL,2200
101,1,OIL,3494
101,1,OIL,1656
101,2,OIL,2239
101,1,OIL,1568
101,1,OIL,1376
101,1,OIL,1426
101,1,OIL,1947
101,1,OIL,1512
101,2A,GAS,4239.5
101,1,OIL,2012
101,1,OIL,1955
101,1,GAS,1056
101,1,OIL,1591
101,1,OIL,2768
934,3,GAS,252965
101,1,OIL,3102
101,2,GAS,3154
101,1,OIL,1200
101,1,OIL,1276
101,1,OIL,1344
101,1,OIL,1452
101,1,OIL,1032
101,1,OIL,2624
101,2,OIL,2578
101,1,OIL,1056
101,1,OIL,1200
101,1,GAS,2096
101,1,OIL,1056
101,2,OIL,2321.4
101,1,OIL,2068.4
101,1,OIL,1961.6
101,1T,GAS,2105.6
101,1T,GAS,2317
101,1T,GAS,1985.6
101,1T,OIL,1517.5
101,1T,GAS,2995
101,1T,GAS,1958
101,1H,GAS,1056
101,1T,OIL,2660
101,2,OIL,2124
101,1,OIL,2260
101,1,OIL,2877.8
101,2,OIL,2565.4
101,2A,OIL,2661.6
101,1,OIL,2064
101,1,OIL,2232
101,1,OIL,1728
101,1,OIL,2064
101,1,OIL,2064
101,1,OIL,1795.2
338,1,OIL,4080
401,1,OIL,3560
931,1,GAS,11656
400,1,GAS,12000
442,,,0
101,2,OIL,1708
101,2,OIL,2622
101,2,OIL,2864.75
101,1,GAS,2929.5
101,1H,GAS,1608
101,2A,OIL,2215.5
101,1T,GAS,1687.5
101,2,OIL,1700
101,2A,GAS,1831.46
101,1H,OIL,1700.8
101,1,GAS,1372
101,1,OIL,1702
101,2,OIL,1395
101,2,OIL,1503.55
106,,,0
101,1,GAS,1831.2
101,2,OIL,2088
101,2,OIL,3621
101,2,OIL,3769.6
132,,,0
101,2,GAS,4245.2
101,2,GAS,5595.18
101,2,GAS,3320
101,2,GAS,4021
101,2,GAS,5012.4
101,1H,GAS,3634.5
101,2,GAS,5454
101,1,GAS,2024.8
101,1,OIL,1512
101,1,GAS,2067.7
101,1,OIL,1747.2
101,1,OIL,2026.5
101,1T,GAS,2701
101,1,GAS,1924.5
101,1,GAS,1908
111,2,ELECTRIC,3488
101,1T,OIL,2407
104,2,GAS,2681
101,2,GAS,3378
101,1,GAS,1745.5
101,1T,OIL,2151
101,2,GAS,2198
101,1T,OIL,1575
101,1,GAS,1589
101,1,OIL,2540.9
101,1T,GAS,3159
101,1,GAS,2514.5
101,1,GAS,2293.2
101,1T,GAS,2270.5
101,1,GAS,1139
101,1T,GAS,1861
101,1,GAS,2284.2
101,1,GAS,2381.5
101,1H,OIL,2325.5
101,1T,OIL,5289
101,2A,OIL,4919.5
101,1T,OIL,3465
959,1A,GAS,2854
101,2,OIL,3490
101,1,OIL,1929.6
101,1,OIL,2160
101,1,OIL,1545
101,1,OIL,2100
101,1,OIL,1392
101,1,OIL,2065
101,1,OIL,2100
101,1,OIL,1392
101,1,OIL,2064
101,1,OIL,1963.2
101,1,OIL,2078.4
101,1,OIL,1929.6
101,1,OIL,1881.6
101,1,OIL,2598.4
101,2,OIL,3357
101,1,OIL,2232.4
101,1,OIL,1755
101,1,OIL,1400
101,1,OIL,1929.6
101,1,OIL,2622
101,1,OIL,2243.2
960,,,0
131,,,0
131,,,0
101,1,GAS,1945.5
101,1,GAS,2042
101,1H,OIL,1362
101,1,OIL,1584
101,1,OIL,1440
101,1T,OIL,2001.25
101,2A,OIL,1937
101,2,GAS,2471.4
101,1T,OIL,1904
101,2,OIL,1256
101,2A,OIL,1692
101,2,OIL,1675.5
101,2A,OIL,2429
930,,,0
111,2A,OIL,3693
104,2A,GAS,2080.8
104,2A,GAS,1740
101,2A,GAS,1945.2
101,2,OIL,1283
105,2A,GAS,3916.42
101,2,OIL,1370.9
101,2A,GAS,1490
101,2,OIL,1523
101,1H,OIL,1797.6
101,2,OIL,1798.2
101,1A,GAS,1274.88
101,1A,OIL,1178.88
101,1T,GAS,1815.5
101,2A,OIL,1804
101,1H,GAS,1430.5
102,1,OIL,744
102,1,OIL,647
102,1,OIL,694
102,1,OIL,483
102,1,OIL,485
102,1,OIL,655
102,1,OIL,642
102,1,OIL,497
102,1,OIL,497
102,1,OIL,664
101,1T,OIL,2373
930,,,0
101,2T,OIL,2058.2
132,,,0
132,,,0
101,1,OIL,2300
131,,,0
101,1T,OIL,2418.3
132,,,0
101,1H,OIL,2124
101,1,OIL,2396
101,2,OIL,1724
101,1,OIL,1612
101,2,OIL,2394.15
101,1T,OIL,2466.5
101,1,OIL,2006.8
101,1,GAS,6248
101,1,OIL,2039
101,1T,OIL,2800
101,1T,OIL,1776.25
101,1H,OIL,1248
101,1T,OIL,2004
132,,,0
101,1T,OIL,2677.1
101,1H,OIL,6153.58
101,2H,OIL,2460
101,2,OIL,1123.85
101,2,OIL,2084
101,2,GAS,1724
101,2,OIL,2069
101,2A,OIL,2636
101,1,OIL,672
101,1T,OIL,1428
101,2,GAS,3921
101,2A,GAS,2906.5
101,1T,OIL,4023
101,2A,OIL,1416.35
101,2,GAS,3081
101,1T,OIL,2373
392,,,0
401,1,OIL,5000
31,2H,GAS,29708.4
101,1,OIL,1234
101,2A,GAS,1960
105,3,GAS,2581.9
101,1T,OIL,1500
101,2,GAS,2648.2
101,1T,GAS,1979
101,2A,OIL,3094
101,2,GAS,2242.8
104,2H,GAS,2125
101,2A,OIL,2729.8
101,1T,GAS,1672
132,,,0
101,3,GAS,3439.6
101,2H,OIL,2243
101,2A,GAS,2464
930,,,0
960,1,GAS,9399
101,2,OIL,1884
101,1T,GAS,1720
101,1T,GAS,2092.25
101,2T,GAS,3852
101,2A,OIL,2615
101,1T,GAS,1734.05
930,,,0
101,2A,OIL,1336
101,2A,OIL,2152.8
101,1T,OIL,1932
104,2A,GAS,2290
104,2H,OIL,2568
104,2A,OIL,3053.2
104,2A,GAS,2631
101,2A,GAS,1666
101,1A,GAS,1397.3
101,1H,OIL,1209
132,,,0
109,2A,GAS,3212.6
104,2H,OIL,1620
104,2A,GAS,2196
101,1T,GAS,1430
101,2H,OIL,1575.8
101,1T,OIL,2260
101,1,OIL,1657
101,1T,OIL,2181
104,2A,OIL,3434
101,2,GAS,3531
101,1T,GAS,1485
101,2,OIL,3683.4
104,2H,OIL,2584
101,1T,OIL,1601.25
101,1T,GAS,1723
101,2A,OIL,1628
101,2,OIL,5043.15
101,2,GAS,2641.96
101,1T,OIL,1344
101,1T,GAS,1728
101,1T,OIL,2167
101,1H,OIL,1487
101,1T,OIL,955.5
101,1,OIL,2527.2
101,1A,OIL,1604.46
101,2,OIL,1840
101,1H,GAS,1381
101,2,GAS,1381.5
101,1T,GAS,1635
101,1T,GAS,2114.5
104,2,GAS,5060.1
101,1H,GAS,1150.5
101,1T,GAS,1198.5
101,1,GAS,2962
101,1T,GAS,1475.25
104,2A,GAS,2271.2
101,1T,OIL,1094
101,2A,GAS,1520
104,2A,OIL,2737
101,1,GAS,1590
101,2A,GAS,2002.33
101,1T,OIL,1377
101,1T,OIL,1575
101,2,OIL,1183
101,2A,OIL,2109
101,2,OIL,2152
101,1T,GAS,4615.5
132,,,0
340,2,GAS,19128
101,1,OIL,2271.2
344,1,GAS,2416
102,1H,GAS,2532
102,1H,GAS,3955.4
102,2,GAS,1925.7
102,1H,GAS,3758
102,2,GAS,1755
102,2,GAS,2373.8
102,2,GAS,2373.8
102,1H,GAS,2624
102,2,GAS,3650
102,2,GAS,2563.5
102,2,GAS,3484
344,1,GAS,1095
102,2,GAS,2475.2
102,2,GAS,2475.2
102,2,GAS,2386.8
102,1H,GAS,3756.5
102,1H,GAS,2602
102,2,GAS,2486.8
102,1H,GAS,3259.4
102,2,GAS,2091
102,2,GAS,2228
102,1H,GAS,2602
344,1,GAS,3851
102,1H,GAS,2603
102,2,GAS,1768
102,1H,GAS,2603
102,1H,GAS,2783
102,2,GAS,2328.9
102,1H,GAS,3596
101,1,OIL,1820.5
101,1,OIL,1714.4
101,2,GAS,2353.5
101,1T,OIL,2146.5
101,1H,GAS,1833
101,1T,OIL,3471
101,1T,GAS,2207.2
104,2A,OIL,2382.8
104,2A,GAS,3755.6
101,1T,OIL,1683.5
101,1T,OIL,1393
101,1H,OIL,1069.5
101,2,OIL,2556
101,1T,GAS,2549.5
105,3,OIL,3137.5
101,2,OIL,1787
101,1T,OIL,1226
105,2H,GAS,2848
101,2A,GAS,2087
105,3,GAS,2943.5
104,2A,GAS,1859.6
104,2H,OIL,2680.5
111,2H,GAS,4532
101,1T,OIL,1701
101,1T,OIL,2088.5
104,2A,GAS,2139.6
111,2H,OIL,3456
101,1T,GAS,1702.75
104,2H,OIL,2640
104,2A,GAS,2912.53
101,2,GAS,1493
105,3,OIL,4745.6
101,2,OIL,2046
962,,,0
101,2A,OIL,1749
101,1H,OIL,1060.8
101,2A,GAS,1459
101,2A,OIL,1972.5
101,2A,OIL,1656
101,2A,OIL,2445.57
101,1H,OIL,1760.5
104,2A,OIL,3346
101,1T,GAS,1664
101,2A,GAS,1904
101,1H,OIL,1531
104,2H,GAS,3188
104,2A,OIL,2685.2
101,2A,OIL,2328
104,1T,OIL,2332
101,2A,GAS,2109.76
101,2A,OIL,2353.2
101,2A,GAS,2470.36
104,2A,OIL,2036
101,1H,OIL,1200
101,2,OIL,1882
101,2A,OIL,1700
101,2,GAS,1837.6
101,2A,OIL,1777.26
101,2,OIL,1236.8
101,1T,OIL,1836
101,1,OIL,1080
101,2,GAS,1262
101,1T,GAS,1206
101,2,OIL,1566
101,2,GAS,2839.2
101,1H,OIL,1425.6
104,1,GAS,3100
101,1H,GAS,1482
101,2,OIL,1444.6
101,1,GAS,1016
101,2,OIL,1382
101,2,OIL,1122
101,1,OIL,1319
104,2A,OIL,1568.8
104,2A,GAS,2493.4
101,2A,GAS,2250
101,2,GAS,2293.2
101,2,OIL,1512
101,2,OIL,1926.4
101,1T,OIL,1262
101,2H,GAS,3651.5
130,,,0
101,2H,GAS,3143
130,,,0
130,,,0
130,,,0
442,,,0
101,2A,GAS,1544
104,2A,OIL,1920
104,1T,GAS,1975.5
353,2H,GAS,11927
101,2A,OIL,1679
101,1T,GAS,1473
101,1T,OIL,1396
104,2A,OIL,1847.16
101,2A,GAS,1672
105,2T,OIL,3255.5
338,2,GAS,1680
404,1,GAS,101208
400,1,GAS,55653
404,1,GAS,102816
404,1,GAS,177782
404,1,GAS,78848
404,1,GAS,67600
340,3,GAS,38487.8
404,1,GAS,19469
403,,,0
404,1,GAS,59321
111,2H,OIL,3368
340,2A,GAS,3779.8
109,2H,GAS,15490.2
104,2A,ELECTRICC,3496.6
104,2A,OIL,2016
340,2A,GAS,3359
101,1T,GAS,2035
111,2T,GAS,4737.25
111,2A,OIL,3902
105,2A,OIL,3050
937,2H,GAS,3552
340,2,OIL,21170
104,2A,GAS,1962.8
105,2H,OIL,3406
101,1T,OIL,2652
101,2,OIL,2697.2
310,1,OIL,5280
111,2A,OIL,3272.8
104,2A,OIL,2715.7
104,2A,GAS,3364
101,2A,OIL,2478
101,2T,OIL,2531
104,2A,OIL,3729.68
104,1T,OIL,2076
101,2A,OIL,2001.8
101,2H,OIL,3101
102,1,GAS,901
102,2A,GAS,1844
102,3,GAS,1360
102,2,GAS,2383.9
102,2,GAS,1644
102,2A,GAS,1414
102,1A,GAS,500
102,1,GAS,719
102,2,GAS,1568
102,3,GAS,1534
31,2A,GAS,4645.41
102,1A,GAS,517
102,1A,GAS,1302.66
102,3,GAS,1258
102,2,GAS,1875
102,2,GAS,1895
102,1A,GAS,964.42
102,3,GAS,1687
102,2,GAS,1908
102,1,GAS,1896
102,1,GAS,1914
102,3,GAS,1725
102,2A,GAS,1768.7
102,3,GAS,1728
102,2A,OIL,1356
102,2A,GAS,1356
101,2A,GAS,1893.32
101,2A,OIL,2556.9
101,1,GAS,2506.93
101,2H,GAS,2772.08
101,2,GAS,2006.75
101,2A,OIL,2093.2
101,2A,OIL,2626.7
101,1H,GAS,1320
101,2A,GAS,2101.25
101,1T,OIL,1435.5
101,1A,GAS,1355.64
105,3,GAS,3523.2
101,2,GAS,3058
961,2,GAS,1872
102,2T,GAS,1599.75
102,2,GAS,2313.8
102,2T,GAS,1599.75
102,2,GAS,1919
101,1T,OIL,1872
101,2A,GAS,2632
101,1T,OIL,2508.25
101,2,GAS,2224.64
104,2T,GAS,3199.25
101,2,GAS,1400
101,1T,OIL,1078
101,1T,GAS,1080
101,1T,GAS,1126.44
101,2,GAS,2196.75
101,2A,OIL,1848.44
104,2A,OIL,3442.08
101,1T,GAS,1347.5
101,1T,OIL,1153.25
104,2T,OIL,2730
101,2,OIL,1628.5
101,2,GAS,1309.5
104,2,GAS,1840
101,2A,OIL,1924
101,1T,GAS,1580.5
101,2,GAS,1422
101,1A,OIL,1587.88
104,2A,GAS,2272.8
104,2A,GAS,3061
101,1T,OIL,1065.75
101,1T,OIL,1167.25
101,2,OIL,1790.1
101,1,GAS,3622
101,2,OIL,3655.2
109,1,OIL,3904
101,2,OIL,2244.8
101,2A,OIL,2891.5
101,2,GAS,2912.8
101,1T,GAS,2580
101,2,OIL,2064
961,1,GAS,2329.6
101,2A,GAS,4550.2
101,2A,OIL,4197.56
101,2A,OIL,3011
101,2A,GAS,3385.5
101,2,OIL,2775.4
101,2,OIL,2778
104,1T,OIL,1874.5
101,1T,GAS,1764.75
101,2,GAS,2798
101,2,OIL,1745
101,2,GAS,2012
104,2A,GAS,3787
101,2A,GAS,2308
101,2T,GAS,2646.25
105,3,OIL,2210.4
101,2A,ELECTRIC,1649
101,2,OIL,1764.5
104,2H,GAS,2573.5
101,2A,GAS,2160
101,2,OIL,1604
101,1T,GAS,2263.2
101,1T,OIL,1428
101,1T,OIL,1836
101,1T,OIL,2457.5
101,1T,GAS,1264
101,1,GAS,1212
104,1T,OIL,2573.75
132,,,0
101,1T,GAS,1709
101,1T,OIL,1686
101,1T,OIL,1745.5
101,1T,GAS,1099
101,1T,OIL,1590
104,1T,OIL,1846.25
104,2A,GAS,2907.1
104,2A,OIL,2440.8
101,2,ELECTRIC,1814.65
101,2,GAS,2672
102,2A,GAS,1400
102,3,GAS,1555
953,,,0
130,,,0
104,1T,OIL,2236.25
101,1T,OIL,1414
101,1T,OIL,1414
101,2,OIL,1683
101,1T,OIL,2224
101,1H,OIL,1241
101,2,OIL,1844
111,2,OIL,3804
101,1,OIL,1705.2
130,,,0
101,2H,OIL,2340
101,2,GAS,3484
130,,,0
101,2,PROPANE,3649.6
101,2,GAS,3539
101,2,GAS,3843
101,2,GAS,4472.2
101,2,GAS,4314.8
101,2,GAS,3711
101,1,OIL,1416
101,2,GAS,2640
101,2A,OIL,3606
101,1,OIL,1284
101,1,OIL,2896
101,1,PROPANE,1248
101,2,ELECTRIC,2616
101,1T,OIL,2604
101,1,OIL,1862.4
101,1,OIL,3281.4
101,1,GAS,2154.6
101,1,OIL,2220
101,1,OIL,2928.64
101,1,OIL,3116
101,2,OIL,3074.28
101,2A,GAS,3596.8
101,2,OIL,2274
101,1,OIL,1824
101,1,OIL,1548
101,2,OIL,3365
101,1,OIL,2118
101,1,OIL,1078
101,1,OIL,1356
101,1,OIL,1204
101,1,GAS,1404
101,2,OIL,1500
101,1,OIL,2091.2
101,1T,OIL,2036.25
101,1T,GAS,2599.6
101,1T,OIL,1944.8
101,1T,GAS,1806
101,1T,GAS,1312.5
101,1T,OIL,1404
101,1T,OIL,1991.6
101,1T,OIL,1810.5
101,2,OIL,2636.4
101,1,OIL,1872
101,1,OIL,1312
101,1,OIL,1863
101,1,OIL,1452
101,1,OIL,1470
101,1,OIL,1656
101,1,OIL,1056
101,1,OIL,1952
132,,,0
101,1T,OIL,2469
101,1,OIL,3209.6
101,2,OIL,2277.78
101,2A,OIL,2964
101,2,OIL,2640.4
101,2,OIL,3206
101,2,OIL,3026.4
101,2A,OIL,4906.38
101,2A,OIL,5333
101,1T,OIL,3098.5
101,1,OIL,3112
101,2,OIL,2735.68
101,2A,OIL,3892
101,2,GAS,3325.8
101,2,OIL,3914.2
101,2,OIL,3258.4
101,1T,GAS,2169.5
105,2H,GAS,2794.8
13,1T,OIL,2159.5
101,1T,GAS,1318
101,1T,OIL,2199.75
101,1T,OIL,1914
101,1H,GAS,1332
401,1,GAS,59798
101,1T,OIL,1344
101,1T,OIL,1362
104,1T,GAS,1585.5
101,2A,GAS,1883
101,1A,OIL,1241.05
101,1H,ELECTRIC,1365
101,1H,GAS,1344
101,2,GAS,2636
104,1H,GAS,2040.5
970,2H,OIL,3524
109,2A,GAS,2381
101,2,OIL,2324
101,2,GAS,1530
101,1,GAS,1897.2
101,2,GAS,1666
130,,,0
104,2,OIL,3530
101,2,GAS,2025
105,2T,OIL,3942
101,1,OIL,1266
101,1T,GAS,1397
101,1T,OIL,1452
104,2A,OIL,1729
101,1T,GAS,1260
101,1T,GAS,1744
101,1T,OIL,1294
101,1,GAS,872
101,1T,OIL,1728
101,1H,OIL,1690
104,2,GAS,1924
111,2A,GAS,3746
111,2,GAS,3749.76
101,2A,OIL,2796.2
104,2A,OIL,2677.3
101,1,GAS,1893.6
104,2,OIL,2000
101,1,OIL,1858.25
101,2A,OIL,1748
104,2,OIL,4399.3
101,1,OIL,965
104,2,ELECTRIC,2132
104,2,ELECTRIC,2132
104,2,ELECTRIC,2132
104,2,ELECTRIC,2040
104,2,ELECTRIC,2000
104,2,ELECTRIC,2000
104,2A,GAS,3048
104,2,GAS,2516
104,2A,GAS,2516
101,1T,GAS,1816
101,1T,OIL,2386.8
101,2,GAS,2516
101,1T,OIL,1817
101,1,OIL,1676.8
101,1,OIL,1656.2
101,1,GAS,1253.2
101,1,GAS,1272
101,1H,OIL,1696
101,2A,OIL,1787
102,2A,GAS,1258
104,2,ELECTRIC,2080
102,2,ELECTRIC,1324
102,2,ELECTRIC,1024
102,1H,OIL,1602.46
102,2H,GAS,2066
102,2,OIL,1842
102,1,GAS,1716.8
102,2,GAS,1535
102,2,GAS,2110
102,1H,GAS,2497.5
102,2,GAS,1957
102,2,ELECTRIC,1987
102,2,GAS,1456
102,2,GAS,1853.5
102,1H,OIL,2569.5
102,2,ELECTRIC,2124.35
102,2,ELECTRIC,1947
102,2,ELECTRIC,1153
102,2,ELECTRIC,1153
102,2,ELECTRIC,1668
102,2,GAS,2005
102,2,GAS,1610
102,2,ELECTRIC,1268
102,2,ELECTRIC,1153
102,2,GAS,2084
102,1H,OIL,2602.44
102,2,ELECTRIC,2025
102,2,GAS,1945.5
102,2,GAS,1905.1
102,2,ELECTRIC,1462
102,1H,ELECTRIC,2956.85
102,2,ELECTRIC,1320
102,2,GAS,1935
102,2,GAS,1639.5
102,1H,GAS,1952
102,2,ELECTRIC,2043.65
102,2,ELECTRIC,1980.25
102,2,ELECTRIC,2312.5
102,2,GAS,1984
102,2,GAS,1786
102,2,OIL,2070.4
102,2,ELECTRIC,1160
102,2,GAS,1142
102,2,ELECTRIC,1589.3
102,2,ELECTRIC,1970
102,2,GAS,1617
102,2,ELECTRIC,1164
102,2,GAS,1152
102,2,GAS,1466
102,2,GAS,2014
102,2,ELECTRIC,1915.6
102,2,ELECTRIC,1188
102,2,GAS,1203
102,2,ELECTRIC,1191
102,2,GAS,1208
102,2,GAS,1975
102,2,ELECTRIC,2304
102,1H,GAS,1924
102,1H,GAS,2011.33
102,1H,GAS,2830.75
102,2,GAS,1989.6
102,2,GAS,1950
102,2A,ELECTRIC,1610
102,2,GAS,2103.7
102,2,GAS,1870
102,2,GAS,2866.6
102,2,OIL,1469
102,1H,GAS,2259.9
102,2,ELECTRIC,1452
102,2,GAS,1434
102,2,GAS,1922.9
102,2,ELECTRIC,1448
102,2,GAS,2089.8
102,1H,GAS,2224.41
102,1H,OIL,1603.46
102,2,ELECTRIC,1446
102,2,GAS,1718
102,2,GAS,1436
102,2,GAS,1504
102,2,GAS,1452
102,1H,GAS,2054
102,1H,OIL,1926
102,2,ELECTRIC,1470
102,2,ELECTRIC,1200
102,2,ELECTRIC,1200
102,2,GAS,1208
102,2,GAS,1208
102,2,GAS,2265.45
102,1H,GAS,1613.97
102,2,ELECTRIC,1788
102,2,GAS,2267.2
102,2,GAS,2033.55
102,2,GAS,2084.7
102,2,GAS,2297.8
102,1H,ELECTRIC,2865.8
102,2,OIL,1444
102,2,OIL,1448
102,2,ELECTRIC,1615.5
102,2,ELECTRIC,1024
102,2,ELECTRIC,1448
102,2H,GAS,2066
102,2,GAS,2619
102,1,GAS,1452
102,2,GAS,1653.6
102,1H,OIL,1588.97
102,2,ELECTRIC,1619
102,1H,GAS,1612.48
102,2,GAS,1607
102,2,ELECTRIC,1289
102,2,ELECTRIC,2075
102,2,GAS,1607
102,2,ELECTRIC,1281
102,2,ELECTRIC,2040
102,2,GAS,1615.5
102,2,ELECTRIC,1594
102,2,ELECTRIC,2040
102,2,GAS,1613
102,2,ELECTRIC,1601
102,2,ELECTRIC,2040
102,2,ELECTRIC,1622
102,1H,GAS,2344
102,1H,ELECTRIC,2685.57
102,2,GAS,1448
102,2,ELECTRIC,1205
102,2,ELECTRIC,1672.5
102,2,ELECTRIC,1190
102,2H,GAS,2066
102,1,ELECTRIC,1205
102,2,ELECTRIC,1637
102,1,ELECTRIC,1205
102,2,GAS,1617
102,2,ELECTRIC,1647
102,1,ELECTRIC,1205
102,2,GAS,1608
102,2,ELECTRIC,1641
102,2,GAS,1942.2
102,2,GAS,1608
102,2,ELECTRIC,1633.5
102,1H,GAS,2142
102,2,GAS,1617
102,2,ELECTRIC,1361.1
102,1H,GAS,1626.95
102,2,ELECTRIC,1606.5
102,2,ELECTRIC,2001.2
102,2,GAS,1953.4
102,2,ELECTRIC,2074.6
102,2,GAS,3546
102,2,GAS,2511
102,2,GAS,1939.9
102,2,ELECTRIC,1328
102,2,ELECTRIC,1190
102,2H,GAS,2066
102,2,ELECTRIC,1967.25
102,2,ELECTRIC,1623.5
102,2,ELECTRIC,1931.8
102,2,GAS,1617
102,2,ELECTRIC,1496.5
102,1H,ELECTRIC,2758.6
102,2,GAS,1608
102,2,ELECTRIC,1651
102,2,GAS,1608
102,2,ELECTRIC,1659
102,2,GAS,1468
102,2,GAS,1617
102,2,ELECTRIC,1498
102,2,ELECTRIC,2076.6
102,2,ELECTRIC,1647.5
102,2,GAS,2059.5
102,2,GAS,2052.6
102,2,GAS,2026.85
102,2,OIL,1442
102,2,ELECTRIC,1660
102,1,ELECTRIC,1190
102,1H,ELECTRIC,2380.4
102,2,ELECTRIC,1641
102,2,GAS,1617
