USECODE,STORYHEIGHT,FUELTYPE,AREASQ
327,1,GAS,7456
327,1,GAS,4737
344,2,GAS,986
344,2,GAS,1208
344,2,GAS,2100
327,2,GAS,2372
344,2,GAS,1343
344,2,GAS,2080
344,2,GAS,1261
344,2,GAS,549
344,2,GAS,2158
344,2,GAS,695
101,1T,OIL,1881.6
101,2,GAS,1728
101,1T,GAS,1584
101,1T,OIL,716.5
101,1T,GAS,1039
101,1T,GAS,1574.8
101,1T,OIL,1436.5
101,1H,GAS,1230.5
101,1H,GAS,1309
101,1T,GAS,943.25
104,1,GAS,2620.8
104,2,GAS,1420.94
101,1T,OIL,942
101,2,GAS,1602
101,2A,GAS,3952
101,2,OIL,3328.72
101,2,OIL,3345.25
101,2,OIL,2928
101,2,OIL,3452
101,2A,OIL,2564
101,2A,OIL,3499.4
101,2,OIL,3023.6
101,2,OIL,4080.6
101,2,OIL,2549
101,2,OIL,4301.2
101,2,GAS,3468
101,2,GAS,4389
101,2,OIL,2886
101,2A,GAS,6218.47
101,2,GAS,3080
101,2A,OIL,2744
101,2,OIL,4296
101,2,GAS,5419
101,2A,OIL,4652.25
101,2,OIL,3076.5
101,2,OIL,3356
101,2,OIL,3934
101,1,OIL,2848.5
101,2,OIL,1760.4
101,1,OIL,2628.5
101,2,OIL,3152.75
101,1,OIL,2055
101,2,OIL,2523
101,1,OIL,1928
101,2,OIL,2052
101,1,OIL,2877.8
101,1,OIL,2968.8
101,2,OIL,1960.4
101,1,OIL,2188
101,1,GAS,1054
101,2,GAS,1616
101,2,GAS,2194
101,1,GAS,1394
101,1,GAS,1698
101,1,GAS,1258
101,2A,GAS,2765.78
101,1,GAS,984
101,1,GAS,1722.6
101,1T,OIL,2103
101,1H,OIL,1102
104,1T,OIL,1568
101,1,GAS,988
104,2,GAS,1676
101,1,OIL,2012.5
101,1,GAS,2613.8
101,1,OIL,2032
111,2T,GAS,6063.75
101,2,OIL,2696
101,1,GAS,1591.5
101,2,OIL,3294.5
101,1,OIL,1645.5
101,1H,OIL,1534
101,1T,OIL,2736.8
101,1,OIL,3079.6
102,2,OIL,1822
102,2,OIL,1269
340,1,GAS,7518
327,1,ELECTRIC,40814
327,1,GAS,14915
327,1,ELECTRIC,111776
101,2,ELECTRIC,2432
101,1T,OIL,2143
101,2,OIL,2168.4
101,1T,OIL,2603
101,2,OIL,2476
101,1T,OIL,3071.1
101,2,OIL,3245.4
101,2,ELECTRIC,3593.8
101,2,OIL,3296
101,1T,OIL,2238
101,1T,OIL,2691
101,1,OIL,2384
101,1,GAS,1614.6
132,,,0
101,2,GAS,3450
101,2,GAS,2452
101,2,GAS,3132
132,,,0
391,,,0
922,2,GAS,25127
101,1,OIL,2579.2
101,1,OIL,1483.2
101,1,OIL,2228
101,2,OIL,2632.8
101,2,OIL,2052
101,1,OIL,2470.4
101,2,OIL,1651
101,1,OIL,2213
101,1,OIL,1956
101,1,OIL,1483.2
101,1,OIL,2193
101,1,GAS,956.8
101,1H,OIL,1782.8
101,1H,GAS,1560
101,1,OIL,1101
101,2,GAS,2125.2
101,2A,OIL,1350
101,2,OIL,1282.8
101,1T,OIL,1274
101,1T,OIL,2047.5
101,2,OIL,1235
101,1H,OIL,1183
101,1H,OIL,1170
101,2,GAS,1488
101,1T,GAS,1605.6
101,1,OIL,1728
101,1T,OIL,1626.15
101,2,OIL,1498
101,1T,OIL,1496.5
101,2,OIL,1610
101,2,OIL,1477.4
104,2,OIL,2977.35
101,2,OIL,1520
101,2,OIL,1427
101,1T,OIL,1942.5
101,2,GAS,1847.5
104,2A,GAS,2643.45
104,2A,OIL,2325.36
101,2H,OIL,2952
111,2H,OIL,3076.5
111,2A,OIL,2484
105,3,GAS,4036.8
101,2,GAS,1587
104,2A,OIL,2848.7
104,2T,GAS,3323
101,1T,GAS,1928.25
101,1T,GAS,986.5
101,2,GAS,1398.6
101,1T,GAS,1344
101,1H,OIL,1536
101,2,OIL,1537
101,1T,OIL,1723.8
101,1T,GAS,1833
101,2A,GAS,1976.7
101,2,GAS,2267
101,1,GAS,1391.8
101,2,OIL,1661
101,1A,OIL,1450.4
101,1H,GAS,1701
101,2A,OIL,2183
104,2A,OIL,1774.8
101,2,OIL,1366
101,2,OIL,1800
401,1,GAS,17568
392,,,0
101,1,OIL,1053
101,2,ELECTRIC,1194.4
101,2,ELECTRIC,1291.2
101,2,GAS,1234.4
101,1T,OIL,1207.5
935,2A,OIL,17084.2
970,2,GAS,2620
959,2,GAS,2842
101,2H,GAS,3939.9
102,2H,GAS,1334
102,1,GAS,991
102,1T,GAS,1400
102,2,GAS,2367
102,2,GAS,1659.5
102,2A,GAS,1217.8
102,2A,GAS,1629.35
102,2,GAS,1300
102,1H,GAS,919.06
102,2H,GAS,1110
102,1H,GAS,1261.9
102,2,GAS,2512.49
102,2,GAS,2367
102,2,GAS,1295
102,2A,GAS,1109
102,2A,GAS,1222.1
102,2,GAS,1288
102,2A,GAS,1247.5
102,2A,GAS,1212.5
102,2,GAS,1080
102,2H,GAS,1133
102,2A,GAS,1679
102,2A,GAS,1683.8
102,2A,GAS,1653.55
102,2A,GAS,1638.6
102,2,GAS,1451
102,2A,GAS,1121
102,2A,GAS,1239.5
102,2,GAS,1300
101,1,OIL,1992
101,2A,GAS,2890.6
101,2A,GAS,2678
101,2A,GAS,2512
101,2,GAS,3149.2
101,2A,GAS,2688
132,,,0
930,,,0
101,1,OIL,1260
101,1,OIL,2204
101,1,GAS,2353
101,1,OIL,1988
101,2A,OIL,2762.5
101,1,OIL,2442
101,1,OIL,2083.9
101,2,OIL,2618
101,1,OIL,1523.2
101,1,OIL,1674
101,1,OIL,2144
101,1,OIL,2213
101,1,OIL,1848
101,1,OIL,2931.6
101,1,OIL,1676.8
101,1,OIL,1056
132,,,0
101,2,OIL,2785.6
101,1T,OIL,2814
101,2,OIL,4746.6
934,1,GAS,45992
101,2A,OIL,2196
101,1,OIL,2559.9
101,1,OIL,2288
101,2A,OIL,3136
101,2,OIL,3057.6
132,,,0
101,2,GAS,2128
101,2,GAS,2803
101,2,OIL,1996
101,1,GAS,1462
101,1,GAS,2844
101,2,GAS,2323
101,2,GAS,2214
101,2,GAS,2191.3
101,2A,OIL,2150.4
101,2A,OIL,2169
101,2,GAS,2781
101,2,OIL,2976.8
101,1,OIL,1464
101,1T,GAS,1692
101,1,OIL,1458
101,2,OIL,3667.3
101,2A,OIL,4085.2
101,1T,GAS,1990
101,1T,OIL,2182
101,1,OIL,1345
101,1T,OIL,1560
101,2,GAS,2996
101,1T,OIL,1428
101,1,ELECTRIC,1949.5
101,1T,GAS,2040
101,2,OIL,2559.4
101,2,GAS,1256
101,2,OIL,1104
101,1T,OIL,1579.24
101,1T,GAS,905.75
101,2A,OIL,1448.1
101,1H,GAS,1764
101,1T,OIL,2147.6
101,1T,GAS,1373.5
101,1,GAS,744
101,1,GAS,958
101,1,GAS,1674
101,1,GAS,1332.4
101,1,GAS,958
101,2,ELECTRIC,2324
959,2,OIL,1845
101,2,GAS,3296.75
101,2,GAS,2733.6
104,2,GAS,2200
101,2,GAS,2643.2
101,1T,GAS,1537
101,1T,GAS,2640
101,1T,GAS,1496
101,2,OIL,1268.1
101,1T,OIL,1224.85
101,2,GAS,1411.8
101,1T,GAS,1572
101,1A,OIL,1279
101,1,GAS,1456
101,2,OIL,1632
105,2,GAS,2784
101,2,GAS,2048
101,2,GAS,1971
101,2,OIL,2320
930,,,0
101,2A,GAS,1644
101,1,GAS,1789
104,2,GAS,1824
104,1T,GAS,1448
101,2,GAS,1080
104,2A,ELECTRIC,2220
101,1,GAS,1104
101,2,GAS,2700
101,2,GAS,2148
101,1H,GAS,1588
104,2H,GAS,2712
101,2,GAS,1564
101,1T,GAS,1620.5
104,1T,GAS,1652.25
101,2,OIL,1464.5
101,1T,OIL,1313
101,1T,GAS,1965.5
101,2A,OIL,1319
101,1,GAS,2377.4
101,2A,GAS,1982.4
101,2,GAS,1401
101,1H,OIL,1842.75
101,2A,OIL,1552
101,2A,OIL,1895.8
101,2,GAS,2348.6
101,2,GAS,1260.95
101,1T,OIL,909
101,2,OIL,1235.8
101,1T,OIL,1046.5
101,2,GAS,1254
101,2,GAS,1598.5
101,1A,GAS,936
101,2,OIL,1212.2
101,1T,OIL,1092
101,1T,OIL,1497
101,1T,GAS,1800.35
101,2,OIL,1402
101,1T,GAS,1856
101,1H,GAS,1632
101,1T,OIL,1574.4
101,1T,GAS,1428
101,2,ELECTRIC,2148
101,1T,GAS,1476
101,1,OIL,1143
101,1H,OIL,1186
101,1T,GAS,1560
101,2,OIL,1296
101,2,OIL,1572.85
101,2A,GAS,1616
104,3,OIL,3124
101,2,OIL,1727
101,2,GAS,1875.5
101,1,OIL,825
101,1H,OIL,1232
101,1T,OIL,1435
101,1,GAS,936
101,2,GAS,1648
101,2,OIL,1496
102,2,ELECTRIC,463
102,2,ELECTRIC,674
102,2,ELECTRIC,674
102,2,ELECTRIC,666
102,2,ELECTRIC,664
102,2,ELECTRIC,703
102,2,ELECTRIC,707
102,2,ELECTRIC,706
102,2,ELECTRIC,693
102,2,GAS,702
102,2,ELECTRIC,699
102,2,GAS,698
102,2,ELECTRIC,684
102,2,ELECTRIC,457
102,2,ELECTRIC,683
102,2,ELECTRIC,712
102,2,ELECTRIC,695
102,2,ELECTRIC,691
102,2,ELECTRIC,706
102,2,ELECTRIC,700
102,2,ELECTRIC,687
102,2,ELECTRIC,689
102,2,ELECTRIC,691
102,2,ELECTRIC,696
102,2,ELECTRIC,685
102,2,ELECTRIC,685
102,2,ELECTRIC,454
102,2,ELECTRIC,684
102,2,ELECTRIC,714
102,2,ELECTRIC,712
102,2,GAS,709
102,2,ELECTRIC,709
102,2,ELECTRIC,714
102,2,GAS,714
102,2,ELECTRIC,703
102,2,GAS,710
102,2,GAS,458
102,2,ELECTRIC,667
102,2,GAS,676
102,2,ELECTRIC,675
102,2,ELECTRIC,696
102,2,GAS,698
102,2,ELECTRIC,704
102,2,GAS,704
102,2,ELECTRIC,699
102,2,ELECTRIC,706
102,2,ELECTRIC,705
102,2,ELECTRIC,706
101,1,GAS,2957.5
101,2,GAS,3479.9
101,1,GAS,2658.5
101,1,GAS,2168
101,1,GAS,1799
101,2,GAS,2275
957,1,OIL,3069
101,2,OIL,2178.4
101,2,OIL,1836
101,1T,GAS,1638
101,2,GAS,2908
101,2,GAS,2424
101,2,GAS,3386.4
101,2,GAS,4235
101,2,GAS,3322.04
101,1,GAS,2733.4
101,1,GAS,2168
101,2,GAS,2171
101,2,GAS,3211.7
101,2,GAS,2162
101,2,GAS,3441.5
101,2,GAS,1795.6
101,2,GAS,1859.4
101,2,GAS,2386.16
101,1,GAS,2525.5
101,1,GAS,3327
101,2,GAS,3175
101,1,GAS,2122
101,2,OIL,2210
101,1,GAS,3072.7
101,2A,GAS,2379
101,2A,OIL,2430.6
101,2T,GAS,2460.5
101,2H,GAS,1991
101,2H,GAS,1991
101,2H,GAS,2036
101,2H,GAS,2304
104,2H,OIL,3148.5
104,2A,GAS,3722.15
101,2A,GAS,1684
101,2A,GAS,2686.1
101,2,OIL,2450.2
101,2A,OIL,2403.6
101,2A,OIL,2204.4
104,2,GAS,2704
101,2,OIL,1996.8
390,,,0
101,1T,OIL,1701
101,1T,GAS,1417.5
101,1T,GAS,1728
104,2A,GAS,2394
101,2,GAS,1340
101,1,OIL,1740.2
101,1,OIL,2040
101,1,GAS,2160.6
101,1H,OIL,1152
930,,,0
101,2,OIL,2278.22
101,1,OIL,1522
