"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"343",NA,825,2
"343",NA,1122,2
"343",NA,975,2
"343",NA,975,2
"343",NA,975,2
"343",NA,825,2
"343",NA,990,2
"343",NA,975,3
"343",NA,975,3
"343",NA,823,3
"343",NA,823,3
"343",NA,3560,3
"343",NA,780,3
"343",NA,570,3
"343",NA,986,3
"343",NA,990,3
"331",NA,26494,1
"325",NA,11400,1
"316",NA,80425,3
"953",NA,1344,1
"112",NA,10080,2
"112",NA,5040,2
"112",NA,11724,2
"112",NA,4872,2
"112",NA,4872,2
"112",NA,10080,2
"112",NA,4872,2
"112",NA,10080,2
"112",NA,10800,2
"112",NA,10668,2
"112",NA,5040,2
"326",NA,1064,1
"325",NA,2200,1
"326",NA,8079,3
"401",NA,8000,1
"401",NA,3888,1
"971",NA,2945,1
"338",NA,3010,1
"401",NA,146122,4
"401",NA,64440,4
"332",NA,1320,1
"400",NA,8816,1
"401",NA,172048,2
"400",NA,32591,2
"400",NA,26500,1
"401",NA,19008,1
"400",NA,94440,1
"401",NA,27000,2
"345",NA,7208,1
"345",NA,7108,1
"345",NA,3558,1
"345",NA,3008,1
"345",NA,7008,1
"345",NA,8918,1
"345",NA,3008,1
"345",NA,3008,1
"405",NA,9016,1
"405",NA,2343,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,1010,1
"405",NA,1010,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"405",NA,880,1
"031",NA,3764,2
"031",NA,4600,1
"031",NA,2853,2
"330",NA,1209,1
"031",NA,1800,1
"140",NA,5736,1
"941",NA,124202,3
"941",NA,16302,1
"941",NA,9464,2
"941",NA,6148,3
"941",NA,3120,1
"971",NA,19024,2
"112",NA,117208,4
"112",NA,123844,4
"332",NA,7899,1
"332",NA,1663,1
"323",NA,11450,1
"326",NA,7482,1
"325",NA,8252,1
"325",NA,510,1
"323",NA,25000,1
"321",NA,23375,2
"333",NA,1947,1
"333",NA,3060,2
"400",NA,14880,2
"400",NA,12610,1
"400",NA,26356,1
"326",NA,22890,2
"400",NA,31308,2
"301",NA,14784,1
"326",NA,3500,1
"929",NA,2800,1
"929",NA,512,2
"929",NA,4522,1
"345",NA,9612,1
"345",NA,9994,2
"345",NA,9088,NA
"805",NA,49398,2
"805",NA,7200,1
"805",NA,5253,1
"805",NA,2034,1
"805",NA,6681,1
"960",NA,18695,1
"340",NA,3496,2
"326",NA,9440,2
"940",NA,11764,3
"342",NA,2050,1
"935",NA,5034,2
"344",NA,6941,1
"344",NA,1488,2
"344",NA,854,2
"344",NA,788,2
"344",NA,832,2
"344",NA,695,2
"344",NA,1487,2
"344",NA,1297,3
"344",NA,762,3
"344",NA,684,3
"344",NA,1090,3
"344",NA,621,3
"344",NA,1300,3
"344",NA,431,3
"955",NA,154043,5
"955",NA,59526,3
"342",NA,47976,2
"342",NA,44290,3
"342",NA,54656,2
"900",NA,29980,1
"344",NA,1500,1
"344",NA,1480,1
"344",NA,1004,1
"344",NA,885,1
"344",NA,1480,1
"344",NA,1488,1
"344",NA,918,1
"344",NA,697,1
"344",NA,1201,1
"344",NA,797,1
"344",NA,1487,1
"344",NA,1419,1
"344",NA,744,1
"344",NA,664,1
"344",NA,1072,1
"344",NA,652,1
"344",NA,1305,1
"970",NA,20160,2
"970",NA,2040,2
"970",NA,2736,2
"971",NA,48440,2
"112",NA,103680,2
"112",NA,23625,2
"112",NA,90000,2
"112",NA,2100,2
"112",NA,74250,2
"112",NA,17050,2
"112",NA,4675,2
"112",NA,21975,2
"112",NA,11250,2
"112",NA,121680,2
"112",NA,85176,2
"112",NA,12384,2
"112",NA,37800,2
"112",NA,12384,2
"112",NA,10368,2
"112",NA,10584,2
"112",NA,1250,2
"112",NA,17436,3
"112",NA,26388,3
"112",NA,4408,1
"971",NA,10739,2
"013",NA,5960,3
"013",NA,1884,2
"326",NA,3479,1
"111",NA,6720,3
"112",NA,36888,2
"962",NA,8464,1
"962",NA,13452,2
"970",NA,1821,1
"970",NA,5856,1
"970",NA,8172,1
"970",NA,7254,1
"970",NA,1512,1
"013",NA,3778,3
"013",NA,3028,3
"013",NA,3769,3
"013",NA,1395,1
"111",NA,7003,3
"325",NA,1440,1
"031",NA,8248,3
